	mut5	mut5	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4
cell1	0	37	47	0	52	0	64	0	50	0
cell2	1	45	47	1	54	0	50	0	44	0
cell3	0	39	26	15	42	0	47	0	51	10
cell4	0	51	11	33	55	0	54	0	34	15
cell5	0	50	18	27	47	0	42	0	16	28
cell6	0	49	17	33	38	0	41	0	40	7
cell7	1	54	23	28	50	0	37	6	39	0
cell8	0	53	34	20	38	0	50	0	43	0
cell9	0	48	38	8	51	0	57	0	69	0
cell10	0	45	17	35	60	0	49	0	42	0
cell11	0	51	7	57	45	4	42	6	51	0
cell12	0	39	34	0	41	12	52	1	53	1
cell13	0	38	41	0	57	0	36	1	35	5
cell14	0	45	27	14	37	0	45	5	43	0
cell15	1	44	12	38	72	2	53	1	42	9
cell16	0	55	2	42	48	0	37	0	15	24
cell17	0	52	34	19	40	0	42	0	41	12
cell18	0	52	18	41	53	0	47	0	21	32
cell19	0	61	60	1	47	0	51	0	52	0
cell20	0	46	51	0	50	3	44	0	43	0
cell21	0	46	49	0	46	0	60	0	42	0
cell22	0	43	53	2	50	0	53	0	67	0
cell23	0	48	35	9	55	0	46	4	40	1
cell24	0	62	24	16	54	0	58	0	15	24
cell25	0	56	53	0	58	0	62	0	52	0
cell26	0	45	56	0	0	48	55	0	51	0
cell27	0	47	57	0	0	69	45	0	50	0
cell28	0	47	2	56	62	0	10	44	57	0
cell29	0	52	6	46	40	0	20	18	51	0
cell30	0	56	33	37	58	1	35	21	46	3
cell31	0	50	47	0	46	2	52	0	57	0
cell32	0	51	51	0	26	17	52	0	55	3
cell33	0	53	48	0	35	10	48	0	45	0
cell34	0	48	44	0	55	0	50	0	38	0
cell35	0	52	58	0	35	0	57	1	51	0
cell36	0	48	38	14	52	1	53	0	44	0
cell37	0	70	33	18	43	0	44	0	26	12
cell38	0	42	37	20	50	0	39	1	39	8
cell39	0	56	54	0	53	0	39	4	48	0
cell40	1	42	21	36	49	0	36	3	49	0
cell41	0	37	51	0	25	32	52	0	38	0
cell42	0	42	44	0	44	0	47	0	36	0
cell43	0	42	43	0	54	0	48	0	43	5
cell44	0	53	62	0	39	10	54	0	53	0
cell45	1	49	47	0	55	2	54	0	41	0
cell46	0	47	6	39	51	0	49	0	53	0
cell47	0	36	41	1	19	37	58	0	43	2
cell48	0	60	50	2	46	0	47	0	52	0
cell49	1	56	46	3	51	0	42	0	45	0
cell50	0	58	41	0	38	8	58	0	42	1
cell51	0	61	54	0	22	35	45	0	50	0
cell52	2	49	49	4	61	0	52	1	47	0
cell53	0	56	48	0	18	34	56	0	50	1
cell54	0	49	12	39	63	0	48	0	40	0
cell55	0	51	46	1	31	21	40	2	42	0
cell56	0	42	48	0	33	18	55	0	56	0
cell57	2	42	42	0	27	30	55	0	45	0
cell58	5	42	50	0	42	2	46	0	46	1
cell59	0	56	38	2	8	35	42	0	42	0
cell60	9	37	57	0	41	0	48	0	48	0
cell61	0	50	4	41	49	0	53	0	32	7
cell62	0	41	52	0	6	44	65	0	53	0
cell63	0	52	53	0	62	0	49	0	66	0
cell64	0	50	54	0	44	0	50	0	55	0
cell65	1	47	52	1	32	21	61	3	51	5
cell66	0	49	47	5	38	1	45	3	53	0
cell67	0	55	20	31	54	1	44	0	49	3
cell68	0	52	68	0	47	1	52	1	50	0
cell69	0	48	40	1	48	0	45	8	61	0
cell70	0	47	19	22	35	0	43	0	57	0
cell71	0	57	46	4	36	0	56	5	54	0
cell72	2	42	24	26	58	0	50	4	51	0
cell73	0	58	42	0	51	0	70	0	61	2
cell74	0	53	4	45	66	0	60	0	13	40
cell75	3	37	52	2	33	16	70	0	51	0
cell76	0	58	19	27	36	0	13	39	59	0
cell77	0	42	31	20	42	0	52	0	46	1
cell78	2	38	9	49	40	0	30	10	48	0
cell79	0	34	11	41	39	0	44	2	35	0
cell80	0	53	44	0	59	0	34	0	41	2
cell81	0	49	42	0	39	8	56	0	40	0
cell82	0	56	51	0	42	0	56	0	55	0
cell83	0	52	45	0	58	0	63	0	41	0
cell84	0	58	20	25	52	1	44	0	34	16
cell85	0	49	41	0	45	7	58	0	46	0
cell86	2	36	21	28	51	1	58	0	35	13
cell87	0	52	49	0	48	2	54	1	61	0
cell88	0	55	35	23	47	0	44	0	50	0
cell89	0	50	25	22	35	0	47	0	20	19
cell90	3	32	8	33	57	1	45	0	42	0
cell91	0	48	47	0	52	0	51	0	48	0
cell92	0	49	44	0	39	18	50	0	38	0
cell93	0	38	46	0	52	1	47	0	57	0
cell94	2	51	7	42	53	0	55	2	42	0
cell95	0	43	55	0	7	53	44	0	50	0
cell96	0	36	60	0	15	17	46	0	41	1
cell97	0	49	40	6	44	0	28	31	60	0
cell98	0	57	48	0	57	0	47	1	49	0
cell99	0	52	2	57	58	0	7	55	51	0
cell100	0	49	48	0	38	7	54	0	61	0
