,mut5,mut1,mut2,mut3,mut4
cell1,37,47,52,64,50
cell2,46,48,54,50,44
cell3,39,41,42,47,61
cell4,51,44,55,54,49
cell5,50,45,47,42,44
cell6,49,50,38,41,47
cell7,55,51,50,43,39
cell8,53,54,38,50,43
cell9,48,46,51,57,69
cell10,45,52,60,49,42
cell11,51,64,49,48,51
cell12,39,34,53,53,54
cell13,38,41,57,37,40
cell14,45,41,37,50,43
cell15,45,50,74,54,51
cell16,55,44,48,37,39
cell17,52,53,40,42,53
cell18,52,59,53,47,53
cell19,61,61,47,51,52
cell20,46,51,53,44,43
cell21,46,49,46,60,42
cell22,43,55,50,53,67
cell23,48,44,55,50,41
cell24,62,40,54,58,39
cell25,56,53,58,62,52
cell26,45,56,48,55,51
cell27,47,57,69,45,50
cell28,47,58,62,54,57
cell29,52,52,40,38,51
cell30,56,70,59,56,49
cell31,50,47,48,52,57
cell32,51,51,43,52,58
cell33,53,48,45,48,45
cell34,48,44,55,50,38
cell35,52,58,35,58,51
cell36,48,52,53,53,44
cell37,70,51,43,44,38
cell38,42,57,50,40,47
cell39,56,54,53,43,48
cell40,43,57,49,39,49
cell41,37,51,57,52,38
cell42,42,44,44,47,36
cell43,42,43,54,48,48
cell44,53,62,49,54,53
cell45,50,47,57,54,41
cell46,47,45,51,49,53
cell47,36,42,56,58,45
cell48,60,52,46,47,52
cell49,57,49,51,42,45
cell50,58,41,46,58,43
cell51,61,54,57,45,50
cell52,51,53,61,53,47
cell53,56,48,52,56,51
cell54,49,51,63,48,40
cell55,51,47,52,42,42
cell56,42,48,51,55,56
cell57,44,42,57,55,45
cell58,47,50,44,46,47
cell59,56,40,43,42,42
cell60,46,57,41,48,48
cell61,50,45,49,53,39
cell62,41,52,50,65,53
cell63,52,53,62,49,66
cell64,50,54,44,50,55
cell65,48,53,53,64,56
cell66,49,52,39,48,53
cell67,55,51,55,44,52
cell68,52,68,48,53,50
cell69,48,41,48,53,61
cell70,47,41,35,43,57
cell71,57,50,36,61,54
cell72,44,50,58,54,51
cell73,58,42,51,70,63
cell74,53,49,66,60,53
cell75,40,54,49,70,51
cell76,58,46,36,52,59
cell77,42,51,42,52,47
cell78,40,58,40,40,48
cell79,34,52,39,46,35
cell80,53,44,59,34,43
cell81,49,42,47,56,40
cell82,56,51,42,56,55
cell83,52,45,58,63,41
cell84,58,45,53,44,50
cell85,49,41,52,58,46
cell86,38,49,52,58,48
cell87,52,49,50,55,61
cell88,55,58,47,44,50
cell89,50,47,35,47,39
cell90,35,41,58,45,42
cell91,48,47,52,51,48
cell92,49,44,57,50,38
cell93,38,46,53,47,57
cell94,53,49,53,57,42
cell95,43,55,60,44,50
cell96,36,60,32,46,42
cell97,49,46,44,59,60
cell98,57,48,57,48,49
cell99,52,59,58,62,51
cell100,49,48,45,54,61
