	mut10	mut10	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4	mut5	mut5	mut6	mut6	mut7	mut7	mut8	mut8	mut9	mut9
cell1	1	48	17	44	13	36	61	0	45	13	63	1	51	0	40	0	59	0	58	0
cell2	1	45	22	21	47	0	54	0	51	0	27	29	45	2	39	12	47	1	56	0
cell3	0	50	24	10	50	0	52	0	36	1	47	0	26	29	56	0	49	2	40	0
cell4	0	55	12	39	47	0	53	13	55	0	33	7	53	0	34	19	48	0	34	2
cell5	0	55	26	23	45	1	48	1	49	3	41	0	52	0	61	7	45	0	47	0
cell6	0	50	22	25	53	2	42	0	49	0	49	0	54	0	53	0	51	0	49	1
cell7	0	45	25	25	44	0	22	21	57	0	54	0	58	1	33	6	55	0	60	0
cell8	6	36	33	17	59	0	53	1	54	0	56	0	26	17	60	0	56	0	44	0
cell9	0	52	9	41	51	0	49	1	45	2	40	10	48	0	30	8	45	0	43	0
cell10	1	58	3	43	46	1	42	6	55	0	38	6	61	0	51	4	40	0	50	3
cell11	1	58	49	7	49	0	50	0	57	0	51	0	36	2	52	0	48	0	43	0
cell12	1	43	24	39	44	0	35	12	44	0	47	5	48	0	49	7	59	2	33	1
cell13	0	55	31	22	49	0	65	0	46	0	68	0	49	0	47	0	43	0	50	0
cell14	0	50	36	18	39	3	52	2	59	0	36	1	46	18	51	2	45	0	43	0
cell15	11	44	12	33	41	1	57	2	47	2	42	0	53	0	57	4	48	0	35	5
cell16	0	45	38	15	53	0	43	10	54	0	46	0	54	1	41	18	54	0	47	0
cell17	0	54	15	38	40	4	60	0	48	0	49	0	37	17	44	0	39	1	52	0
cell18	0	60	21	14	40	0	45	0	54	0	48	0	50	0	26	15	44	2	53	0
cell19	0	54	8	32	46	1	40	13	46	0	39	14	53	0	42	5	64	0	49	0
cell20	0	46	7	43	63	0	46	0	44	0	48	2	52	0	44	0	46	1	47	0
cell21	0	48	8	42	55	0	41	3	53	0	27	17	53	0	40	14	37	1	43	5
cell22	0	43	21	32	55	0	24	25	41	10	53	0	55	0	37	8	60	0	52	2
cell23	0	55	39	4	39	0	43	0	61	0	54	0	46	1	37	15	51	0	43	4
cell24	0	54	17	30	36	3	37	14	52	0	49	11	51	1	25	14	59	1	45	0
cell25	0	56	5	43	65	0	44	3	54	2	54	2	57	0	47	1	51	0	24	41
cell26	0	51	20	27	61	0	39	9	49	0	36	15	47	0	41	11	52	0	45	7
cell27	0	49	21	20	54	0	44	1	63	0	59	0	66	0	45	6	33	0	61	0
cell28	0	48	41	0	48	1	55	0	44	0	51	1	45	0	59	4	46	0	72	0
cell29	3	40	37	8	67	0	54	0	53	3	53	0	7	35	42	0	56	3	51	0
cell30	0	48	69	0	45	0	45	0	63	0	63	0	47	0	43	2	54	0	43	0
cell31	2	46	16	41	45	0	41	0	49	0	46	0	44	0	51	0	44	0	41	1
cell32	0	52	13	45	14	27	69	0	44	7	63	0	47	0	52	0	50	0	48	0
cell33	0	45	15	32	49	0	41	3	49	0	45	4	46	0	46	1	53	0	50	0
cell34	0	59	27	14	54	0	57	0	57	0	45	0	37	2	15	36	54	0	41	0
cell35	0	58	47	0	41	2	45	0	72	0	53	0	61	0	53	0	60	0	43	2
cell36	0	68	4	39	50	10	17	23	53	0	45	6	56	0	42	2	57	2	57	0
cell37	1	43	40	19	42	0	56	0	49	0	53	0	42	0	46	11	58	0	49	3
cell38	0	50	27	30	40	12	53	0	41	7	34	0	65	0	56	0	60	0	48	0
cell39	4	47	21	19	55	0	48	0	49	0	71	0	60	3	17	36	54	0	42	0
cell40	0	52	8	43	56	0	40	3	45	0	48	4	49	0	49	2	38	7	44	3
cell41	0	53	20	21	35	1	28	20	33	5	48	1	45	0	36	19	54	0	51	1
cell42	0	46	33	10	50	0	51	7	53	0	55	0	50	2	20	33	44	1	59	0
cell43	9	49	17	25	54	0	49	1	46	1	43	3	56	0	27	16	59	0	44	2
cell44	0	55	57	0	51	0	40	0	66	0	61	0	56	0	56	0	45	0	56	0
cell45	0	46	39	12	63	0	53	0	58	6	54	0	43	1	47	0	47	0	54	0
cell46	0	41	11	34	54	0	51	12	40	0	27	16	54	2	45	9	52	0	46	2
cell47	2	39	17	22	43	0	61	0	41	0	45	0	55	2	23	28	46	0	42	0
cell48	0	42	38	1	53	1	38	0	63	0	46	0	51	0	51	0	54	0	57	0
cell49	0	39	45	0	53	0	38	0	43	1	50	0	50	0	51	0	50	0	55	0
cell50	2	41	1	49	35	8	62	0	35	3	54	0	50	0	37	1	46	1	35	0
