,mut15,mut1,mut2,mut3,mut4,mut5,mut6,mut7,mut8,mut9,mut10,mut11,mut12,mut13,mut14
cell1,54,42,56,47,39,64,54,44,52,51,42,42,51,57,40
cell2,47,57,56,49,55,47,45,46,47,56,51,50,44,49,52
cell3,53,53,39,57,36,58,56,51,52,53,42,47,57,44,53
cell4,48,41,37,39,66,54,47,48,48,60,59,45,49,46,53
cell5,45,41,61,61,48,36,54,56,52,45,62,53,43,45,53
cell6,50,48,56,39,44,41,54,55,49,54,54,49,48,48,49
cell7,52,44,49,48,47,58,47,61,63,46,62,48,53,56,52
cell8,47,55,49,48,69,63,49,48,54,45,46,48,53,64,41
cell9,48,60,42,35,49,56,61,46,44,63,60,46,57,47,46
cell10,55,48,39,54,43,63,58,54,48,43,46,60,48,69,31
cell11,48,55,58,51,56,47,50,50,47,49,47,54,49,64,49
cell12,46,41,48,40,40,68,41,56,51,46,39,57,55,49,48
cell13,68,57,47,47,56,42,42,60,50,55,43,63,56,51,47
cell14,53,55,55,40,62,50,46,45,57,42,54,31,47,48,56
cell15,42,48,55,49,53,56,53,38,53,57,39,54,66,44,51
cell16,52,53,65,50,49,50,62,54,38,33,49,48,50,54,50
cell17,52,41,54,50,51,54,46,49,60,50,66,49,50,42,47
cell18,43,68,40,40,58,57,38,42,60,55,44,54,56,37,44
cell19,50,56,47,60,55,44,50,40,66,58,40,72,48,60,41
cell20,53,55,47,37,53,54,61,61,50,57,51,52,41,49,58
cell21,37,50,43,64,55,47,53,44,59,54,42,59,54,51,51
cell22,61,48,57,40,51,53,39,50,44,49,51,49,53,56,36
cell23,54,48,64,39,44,55,43,52,50,48,43,38,44,62,51
cell24,55,46,55,52,59,53,40,47,47,54,41,48,48,47,48
cell25,52,38,48,43,49,47,51,46,57,52,52,51,41,42,46
cell26,56,59,50,54,56,56,41,48,55,63,46,55,40,57,50
cell27,50,50,42,59,39,66,40,46,50,45,52,40,54,67,54
cell28,45,57,58,62,55,51,41,54,35,55,52,53,44,40,60
cell29,46,49,59,44,52,50,49,46,45,58,45,47,55,49,46
cell30,46,56,44,37,53,44,43,53,47,54,40,65,54,46,56
cell31,43,53,53,52,55,43,56,52,53,53,49,46,55,41,41
cell32,41,39,39,49,46,41,43,46,53,47,49,57,55,48,40
cell33,53,48,58,39,54,40,48,61,45,45,41,56,57,49,41
cell34,48,48,57,43,32,48,53,57,45,55,44,51,48,39,54
cell35,52,52,47,54,43,53,51,46,48,47,55,43,52,53,49
cell36,54,60,46,68,56,53,50,38,50,61,59,39,45,32,54
cell37,54,60,53,61,41,42,45,32,50,41,57,53,53,50,46
cell38,52,46,42,66,48,48,60,49,45,42,48,35,52,36,46
cell39,52,51,40,58,56,50,53,47,44,38,57,53,51,44,66
cell40,49,60,45,48,49,46,49,53,52,43,54,47,52,43,58
cell41,43,51,48,51,53,72,59,59,44,50,58,61,46,56,48
cell42,36,56,61,47,55,56,56,38,57,51,50,48,57,45,49
cell43,58,44,51,53,43,47,54,50,57,55,61,46,42,52,35
cell44,58,52,49,53,49,51,44,44,53,41,52,63,69,55,47
cell45,51,41,59,55,39,56,48,54,47,49,56,44,51,50,63
cell46,46,50,66,54,59,50,45,52,65,47,53,49,50,42,46
cell47,50,36,49,42,49,52,47,48,37,47,45,46,53,54,49
cell48,50,50,64,54,46,46,47,64,58,56,42,54,44,52,39
cell49,54,49,48,43,52,58,53,62,43,58,56,53,57,38,53
cell50,53,44,46,53,53,34,54,52,37,55,55,42,60,61,42
cell51,50,50,41,54,57,59,49,46,65,56,58,49,44,45,42
cell52,46,58,59,30,46,53,60,47,43,47,47,61,51,54,46
cell53,45,60,42,51,35,46,53,56,48,44,41,44,46,37,41
cell54,51,45,38,32,56,43,64,45,55,47,51,60,64,46,49
cell55,57,58,55,43,52,51,55,47,61,39,52,43,46,65,54
cell56,44,38,49,53,56,56,59,42,50,54,51,63,73,39,55
cell57,45,55,57,44,72,50,39,48,65,33,62,54,58,47,61
cell58,45,42,53,53,56,50,55,36,45,54,55,39,47,44,47
cell59,50,45,58,60,46,48,44,59,58,62,45,51,58,54,45
cell60,51,59,49,47,43,36,57,55,37,39,55,36,37,48,42
cell61,55,32,56,36,58,51,51,38,52,52,44,48,60,50,56
cell62,43,48,54,53,51,46,42,67,61,50,54,64,58,47,42
cell63,55,51,40,66,59,45,42,50,31,50,49,45,48,49,43
cell64,52,53,49,41,51,52,55,47,53,43,57,50,47,51,53
cell65,47,48,33,58,50,44,41,46,46,52,43,42,51,55,51
cell66,52,56,55,50,37,45,46,55,54,43,47,35,60,46,53
cell67,53,40,52,52,49,49,55,51,52,42,47,53,48,43,49
cell68,65,51,48,41,53,39,36,49,39,57,41,55,44,60,52
cell69,58,50,49,53,53,46,54,47,44,55,49,38,54,48,48
cell70,54,53,51,37,39,60,45,47,49,42,53,54,60,58,42
cell71,52,38,61,50,53,46,43,47,46,58,60,46,46,42,56
cell72,39,44,44,60,50,52,57,59,49,42,50,67,60,39,51
cell73,38,50,58,55,55,49,63,49,54,52,50,49,57,46,45
cell74,44,59,53,50,58,65,44,49,38,60,49,45,42,50,52
cell75,56,48,47,46,66,57,53,61,38,53,52,56,38,49,51
cell76,48,58,44,64,66,49,50,51,51,40,48,42,56,45,45
cell77,46,43,53,64,49,50,48,61,70,52,57,47,48,44,45
cell78,54,53,57,51,65,63,39,52,47,34,43,46,55,49,41
cell79,43,51,56,57,43,47,62,50,45,39,53,49,55,49,53
cell80,46,50,40,58,61,62,50,57,53,40,54,48,42,55,54
cell81,45,48,50,45,48,48,51,46,50,44,57,45,76,47,61
cell82,40,46,37,51,55,49,54,48,39,39,36,44,61,53,60
cell83,37,54,37,51,58,59,48,48,45,57,45,56,55,37,47
cell84,38,45,60,49,51,65,47,63,49,54,45,48,50,49,51
cell85,56,53,42,38,55,42,40,36,46,53,52,59,42,42,47
cell86,48,41,46,39,47,42,46,40,37,40,52,43,41,49,47
cell87,53,42,48,59,50,53,39,48,57,56,47,59,48,42,57
cell88,51,54,54,55,46,54,38,48,60,63,57,44,49,49,39
cell89,54,50,55,62,44,46,59,53,45,60,50,54,47,58,50
cell90,43,53,51,49,36,38,40,48,46,45,51,34,56,43,51
cell91,52,60,41,56,46,46,54,60,47,53,43,60,63,49,62
cell92,48,46,47,63,48,39,46,43,46,51,46,50,53,51,52
cell93,38,42,54,63,55,52,68,47,50,61,46,53,51,55,55
cell94,45,45,57,42,51,43,46,57,46,49,57,30,62,56,45
cell95,58,43,55,40,55,44,58,64,56,47,39,51,54,50,43
cell96,50,44,52,47,52,45,50,52,61,55,56,33,46,50,75
cell97,51,47,57,49,43,38,49,41,40,37,49,41,61,39,39
cell98,42,46,40,49,59,54,48,50,51,39,48,47,52,46,60
cell99,48,40,47,54,42,50,56,34,49,52,49,45,55,46,43
cell100,51,44,48,47,40,53,47,47,45,46,43,55,48,45,43
