,mut5,mut1,mut2,mut3,mut4
cell1,61,62,44,62,40
cell2,50,45,53,43,49
cell3,55,51,37,45,52
cell4,49,56,59,56,59
cell5,53,51,38,48,40
cell6,64,55,58,50,54
cell7,55,45,43,49,33
cell8,51,46,52,49,46
cell9,61,49,51,51,42
cell10,53,37,44,44,46
cell11,58,58,59,54,62
cell12,44,55,52,48,46
cell13,51,51,50,50,60
cell14,55,53,59,46,53
cell15,54,47,52,45,47
cell16,48,51,46,59,59
cell17,53,59,58,62,65
cell18,53,35,41,51,44
cell19,50,49,56,58,60
cell20,57,56,46,46,52
cell21,46,51,45,44,38
cell22,43,44,49,44,56
cell23,51,45,50,62,52
cell24,50,57,48,60,51
cell25,45,56,58,53,41
cell26,52,50,47,44,47
cell27,42,54,52,47,60
cell28,49,47,46,43,52
cell29,46,68,50,51,59
cell30,53,49,47,48,55
cell31,42,58,52,44,37
cell32,43,58,44,53,51
cell33,39,49,54,61,47
cell34,50,52,51,45,54
cell35,45,37,50,52,47
cell36,49,53,62,55,60
cell37,40,57,51,43,61
cell38,57,53,50,43,61
cell39,48,43,51,54,51
cell40,51,67,45,52,46
cell41,63,56,34,57,53
cell42,54,57,41,41,45
cell43,42,36,51,59,57
cell44,56,56,43,51,48
cell45,44,50,49,53,45
cell46,50,48,61,49,41
cell47,59,53,44,42,57
cell48,54,45,48,53,51
cell49,59,44,51,44,44
cell50,55,54,44,52,55
