,mut15,mut1,mut2,mut3,mut4,mut5,mut6,mut7,mut8,mut9,mut10,mut11,mut12,mut13,mut14
cell1,49,39,49,53,61,46,57,45,47,54,48,63,48,41,51
cell2,53,50,51,47,62,55,45,41,47,54,59,65,55,54,51
cell3,52,36,50,42,42,60,34,63,48,48,68,43,55,43,63
cell4,48,47,45,37,43,49,62,42,43,45,50,55,53,45,68
cell5,60,43,65,53,53,55,50,46,47,51,67,52,42,54,49
cell6,50,41,48,43,52,51,70,57,44,49,46,51,57,67,41
cell7,45,53,54,42,44,56,56,69,59,49,52,58,69,56,38
cell8,48,43,48,42,54,55,39,31,47,48,39,47,44,49,53
cell9,66,51,54,31,44,39,47,51,39,39,41,49,68,45,51
cell10,49,50,53,47,57,55,48,54,49,44,40,53,45,49,40
cell11,49,41,43,48,55,47,50,47,47,40,56,51,55,47,44
cell12,51,59,44,44,54,57,41,44,52,52,46,52,48,50,50
cell13,42,47,59,50,59,51,58,48,63,61,46,54,42,55,59
cell14,45,56,51,53,58,41,60,57,56,47,57,43,48,54,54
cell15,58,45,63,44,46,40,54,46,49,50,44,47,44,47,46
cell16,64,40,54,54,43,60,42,47,44,46,49,37,61,44,53
cell17,59,43,37,41,50,56,49,37,40,52,53,43,39,45,38
cell18,49,65,54,51,55,58,56,54,56,37,46,50,43,56,51
cell19,49,56,53,47,67,49,43,43,44,52,48,53,41,56,49
cell20,46,56,55,40,40,43,55,41,52,42,54,60,64,44,40
cell21,51,57,47,58,52,31,54,49,49,37,51,56,64,42,50
cell22,53,49,44,59,43,32,64,40,59,50,51,57,53,51,52
cell23,50,41,46,52,54,56,48,60,47,48,36,45,53,41,47
cell24,58,57,59,44,66,43,55,51,54,61,51,48,48,51,51
cell25,51,38,47,54,41,47,49,49,46,46,47,38,41,50,53
cell26,41,35,43,50,57,48,53,59,53,44,51,50,49,50,57
cell27,48,49,45,49,57,55,48,55,56,41,59,56,50,62,45
cell28,49,56,44,45,53,65,64,63,59,47,56,50,50,63,54
cell29,43,44,46,46,46,40,41,40,49,59,45,47,52,49,62
cell30,43,71,50,51,52,46,38,52,55,47,43,39,45,55,51
cell31,45,63,41,57,37,46,41,42,50,52,56,54,42,67,53
cell32,59,46,58,45,47,50,52,41,40,59,66,53,59,52,54
cell33,46,56,49,53,58,51,52,56,54,57,37,52,54,60,46
cell34,40,47,45,51,44,57,49,41,49,40,45,39,38,54,66
cell35,57,43,48,55,56,37,64,54,47,45,56,55,64,53,42
cell36,44,55,36,43,47,59,50,54,49,64,46,68,41,47,39
cell37,49,36,54,47,48,39,47,42,51,52,54,48,61,51,49
cell38,42,44,45,54,66,58,34,55,43,59,55,47,53,45,46
cell39,55,43,41,41,52,46,59,35,40,52,54,55,50,48,55
cell40,53,50,48,50,41,61,41,50,54,54,54,54,60,64,50
cell41,48,42,46,38,38,48,46,53,45,51,61,55,47,41,46
cell42,51,52,51,56,59,53,52,61,42,44,51,50,56,39,42
cell43,52,48,54,45,51,59,53,43,52,55,42,55,46,47,39
cell44,49,51,51,49,51,44,52,55,47,48,61,48,51,42,59
cell45,40,44,63,42,38,57,53,51,38,49,50,63,35,45,60
cell46,48,45,52,34,41,57,34,52,39,31,48,52,51,50,33
cell47,50,44,37,50,50,52,42,56,50,45,45,39,40,51,52
cell48,49,62,50,53,52,55,65,50,50,53,39,58,43,55,54
cell49,51,50,43,50,54,44,54,63,43,46,46,55,44,45,50
cell50,55,46,50,46,45,52,49,55,43,53,55,43,52,52,52
cell51,39,49,41,54,45,52,46,45,43,46,49,60,50,55,50
cell52,43,57,39,41,46,52,57,52,42,61,42,51,42,44,49
cell53,38,37,49,44,51,47,61,50,43,63,52,44,51,48,53
cell54,43,43,41,38,54,44,58,44,45,59,49,51,43,56,50
cell55,47,53,45,43,58,59,44,56,48,49,49,53,36,41,56
cell56,60,32,54,55,49,51,59,47,40,53,55,56,62,46,57
cell57,50,40,43,49,57,53,37,51,55,50,47,53,47,54,41
cell58,38,58,41,53,51,40,48,48,50,30,54,40,51,52,45
cell59,48,55,62,52,42,58,44,62,46,45,48,54,45,50,44
