	mut10	mut10	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4	mut5	mut5	mut6	mut6	mut7	mut7	mut8	mut8	mut9	mut9
cell1	0	52	11	41	46	3	9	47	46	2	31	14	55	2	52	0	61	0	47	1
cell2	0	54	17	37	46	0	20	33	40	2	49	11	31	11	50	2	62	0	50	0
cell3	6	50	36	9	55	0	60	1	52	0	45	0	52	0	51	2	55	0	43	0
cell4	0	56	0	49	46	0	8	47	46	0	13	34	19	15	45	9	56	0	57	1
cell5	0	50	31	25	60	2	46	6	45	0	60	0	47	0	48	0	43	0	47	1
cell6	0	42	7	47	43	1	29	26	60	0	26	29	28	34	38	8	57	0	39	0
cell7	0	41	21	31	34	25	57	5	55	0	45	6	43	4	59	0	36	0	49	0
cell8	0	58	30	20	58	1	30	0	35	38	41	0	49	0	40	1	25	8	45	0
cell9	0	51	8	32	35	22	48	0	44	0	55	0	50	0	55	0	47	5	40	3
cell10	0	57	42	0	50	0	52	1	47	0	45	0	52	4	46	0	61	0	17	36
cell11	0	55	23	48	29	22	49	0	48	2	39	0	48	0	55	0	44	0	38	0
cell12	0	42	35	12	50	0	49	0	58	0	54	0	60	0	45	0	56	0	49	0
cell13	0	62	13	37	41	5	28	22	44	0	51	0	43	0	60	1	40	0	48	0
cell14	0	62	31	9	58	0	64	1	37	13	64	0	37	0	46	0	52	0	56	0
cell15	0	57	41	5	45	0	53	0	49	0	43	0	43	3	56	0	40	0	42	10
cell16	0	55	5	46	36	3	51	7	6	39	46	0	44	1	43	0	51	0	54	2
cell17	0	52	60	0	50	2	55	0	45	4	51	0	46	0	53	0	49	0	4	46
cell18	0	48	7	56	51	0	13	39	52	0	29	17	50	0	60	0	42	9	47	0
cell19	0	46	12	48	51	0	32	17	45	0	59	12	40	10	50	0	51	0	48	0
cell20	0	43	0	42	20	38	46	0	56	0	41	0	44	2	47	1	73	0	30	9
cell21	3	65	7	38	53	0	34	5	59	0	46	1	52	0	51	7	52	0	54	0
cell22	0	60	46	0	62	0	47	0	36	0	61	0	57	0	42	0	46	0	51	5
cell23	0	47	10	30	37	24	58	0	51	3	62	0	58	0	52	2	51	3	47	0
cell24	0	54	16	53	45	4	53	0	62	0	40	0	52	0	61	0	46	0	52	0
cell25	2	47	35	17	46	0	43	2	62	0	62	0	44	0	52	0	53	0	40	0
cell26	0	48	2	45	41	0	4	37	44	0	47	11	58	0	53	0	42	0	56	0
cell27	0	45	10	35	48	0	12	40	46	0	31	18	36	15	46	2	51	0	57	0
cell28	0	60	3	47	37	1	24	22	39	0	15	31	21	20	36	14	56	0	50	0
cell29	1	49	59	0	61	0	47	0	54	0	63	0	47	0	54	0	38	5	37	22
cell30	0	66	24	12	51	5	58	0	38	15	62	0	52	0	42	0	54	0	55	7
cell31	0	56	16	32	40	0	45	0	33	0	35	0	54	0	47	0	45	0	66	1
cell32	0	45	0	32	46	2	38	2	19	21	53	0	51	0	46	0	43	11	40	0
cell33	0	48	22	15	48	0	47	0	63	0	53	0	51	0	58	0	43	0	44	0
cell34	0	47	12	39	43	0	55	0	40	0	60	0	52	0	45	0	62	0	55	0
cell35	1	62	50	0	59	0	45	0	47	0	39	0	57	0	44	0	38	1	38	11
cell36	0	46	4	46	51	2	18	38	47	0	45	6	54	0	26	6	65	0	40	0
