,mut5,mut1,mut2,mut3,mut4
cell1,44,59,45,49,44
cell2,51,49,51,50,44
cell3,51,50,49,42,49
cell4,40,58,42,49,49
cell5,55,60,54,51,50
cell6,51,50,51,46,56
cell7,54,45,60,51,52
cell8,44,55,46,49,60
cell9,48,53,55,47,44
cell10,63,61,50,57,44
cell11,44,46,51,47,54
cell12,57,40,53,53,52
cell13,62,49,49,53,44
cell14,43,55,47,58,44
cell15,52,50,49,56,53
cell16,47,57,43,49,49
cell17,51,42,59,48,50
cell18,47,50,50,53,49
cell19,51,53,43,51,57
cell20,42,51,49,66,42
cell21,53,55,57,59,58
cell22,50,49,53,45,50
cell23,54,30,47,49,45
cell24,57,49,53,50,37
cell25,45,46,59,53,48
cell26,42,46,50,57,53
cell27,45,46,46,53,40
cell28,49,53,50,48,49
cell29,60,53,54,52,48
cell30,49,54,54,54,54
cell31,60,55,44,51,49
cell32,62,44,53,51,46
cell33,53,45,57,47,42
cell34,32,57,54,55,47
cell35,47,60,60,52,49
cell36,53,53,52,62,44
cell37,45,34,49,60,53
cell38,56,47,38,50,44
cell39,51,46,44,60,56
cell40,42,54,50,54,56
cell41,46,51,57,51,64
cell42,64,61,58,38,58
cell43,48,51,49,46,61
cell44,53,50,42,40,45
cell45,43,47,43,43,58
cell46,60,43,59,59,42
cell47,46,55,41,51,50
cell48,46,57,51,53,39
cell49,56,44,45,47,57
cell50,56,44,42,50,44
cell51,55,42,53,55,42
cell52,62,55,46,50,53
cell53,54,48,54,42,41
cell54,67,53,45,43,51
cell55,60,49,51,40,48
cell56,54,38,55,51,47
cell57,40,45,56,47,40
cell58,47,60,59,48,30
cell59,55,50,68,66,50
cell60,47,44,40,55,52
cell61,39,40,45,45,53
cell62,48,43,46,57,43
cell63,50,55,47,41,51
cell64,52,60,41,55,54
cell65,53,47,36,40,43
cell66,63,59,59,51,57
cell67,65,41,41,54,55
cell68,46,53,54,53,42
cell69,42,46,31,45,34
cell70,51,67,69,45,58
cell71,46,34,39,66,43
cell72,53,34,62,54,53
cell73,39,59,45,66,43
cell74,50,58,39,48,40
cell75,44,50,41,51,49
cell76,48,48,52,55,50
cell77,41,43,60,53,48
cell78,40,52,46,48,53
cell79,60,46,39,52,56
cell80,62,50,42,53,53
cell81,48,45,57,43,40
cell82,38,38,48,53,47
cell83,42,53,48,52,51
cell84,55,55,58,42,38
cell85,54,41,54,50,46
cell86,48,31,40,50,51
cell87,40,53,42,50,52
cell88,54,47,37,51,56
cell89,51,52,51,56,56
cell90,50,52,50,51,49
cell91,43,49,52,49,41
cell92,60,57,50,59,50
cell93,40,49,45,46,40
cell94,58,39,57,52,47
cell95,63,44,55,50,47
cell96,44,58,44,51,47
cell97,58,57,50,58,49
cell98,56,51,48,43,45
cell99,59,46,59,54,51
cell100,47,52,38,42,46
