,mut15,mut1,mut2,mut3,mut4,mut5,mut6,mut7,mut8,mut9,mut10,mut11,mut12,mut13,mut14
cell1,48,54,50,52,50,48,47,52,50,49,43,52,46,52,48
cell2,43,43,44,49,55,50,53,49,53,58,44,44,47,56,42
cell3,57,37,54,40,58,49,62,46,52,41,48,57,40,43,42
cell4,45,52,39,58,51,53,58,42,42,64,50,53,50,56,52
cell5,41,52,53,51,62,49,36,49,52,52,43,53,41,47,50
cell6,40,52,42,45,48,57,51,50,44,53,47,64,50,39,53
cell7,56,32,53,42,47,50,47,47,53,40,64,57,48,47,48
cell8,49,53,45,48,32,47,51,44,49,43,45,46,48,60,53
cell9,56,47,41,45,45,56,50,52,63,53,50,48,66,61,57
cell10,48,45,50,49,55,56,55,54,50,55,51,42,57,42,58
cell11,52,51,53,47,55,57,51,63,59,47,51,52,50,58,53
cell12,62,62,57,53,52,52,39,48,60,54,48,38,59,51,54
cell13,49,41,53,53,47,43,46,43,57,50,47,52,53,42,46
cell14,51,54,50,52,47,53,48,54,46,43,57,60,53,41,53
cell15,50,59,57,44,55,46,47,43,55,61,49,46,47,61,50
cell16,67,59,48,43,53,46,55,50,51,62,59,54,37,62,57
cell17,58,52,47,52,47,58,66,57,54,57,61,62,59,46,54
cell18,54,61,52,53,62,42,45,51,56,42,48,37,36,42,37
cell19,51,37,54,46,48,42,60,37,45,45,61,56,47,45,55
cell20,47,43,43,43,39,48,45,41,47,50,51,58,54,57,47
cell21,58,46,52,45,54,42,46,48,52,62,40,50,43,47,55
cell22,47,42,44,47,47,46,42,50,50,66,60,46,50,58,55
cell23,50,50,47,63,50,54,59,35,47,33,53,49,49,45,51
cell24,55,50,52,42,47,48,47,54,63,45,47,52,47,58,54
cell25,60,46,58,56,59,56,64,54,55,59,54,40,47,41,69
cell26,55,54,53,56,55,61,52,42,43,60,46,50,47,46,52
cell27,37,49,46,55,60,63,56,45,54,38,52,48,46,36,46
cell28,44,56,58,46,57,48,35,45,62,46,44,53,51,55,52
cell29,41,55,56,35,56,54,53,48,50,43,68,32,41,47,53
cell30,49,45,53,56,57,50,44,59,53,48,62,51,40,62,52
cell31,57,46,49,45,47,41,50,37,38,35,54,49,43,44,55
cell32,46,55,39,48,53,52,59,46,41,34,57,66,48,60,50
cell33,49,58,47,47,58,48,46,57,53,44,49,45,55,46,42
cell34,41,59,52,51,52,48,45,66,56,60,57,46,52,50,42
cell35,49,52,46,45,48,39,48,47,46,42,55,43,57,44,59
cell36,42,56,49,53,58,55,51,43,42,40,51,53,50,51,46
cell37,54,48,37,38,51,51,50,56,47,59,49,40,48,46,60
cell38,57,50,57,38,54,55,46,54,49,37,36,45,54,64,43
cell39,44,51,46,57,44,51,47,43,46,51,38,58,51,47,53
cell40,49,53,51,48,48,44,55,55,62,64,46,34,47,39,47
cell41,51,46,53,64,53,44,50,58,48,44,45,51,45,45,53
cell42,64,67,54,56,57,51,52,42,54,44,60,57,46,49,56
cell43,57,47,48,65,44,60,60,54,66,70,47,47,53,54,64
cell44,48,56,51,44,50,55,47,57,55,50,59,42,54,51,51
cell45,52,52,40,44,56,54,58,44,60,52,44,41,49,54,52
cell46,64,37,41,56,59,44,46,46,55,46,59,57,46,53,64
cell47,46,61,45,59,56,36,52,60,45,59,58,34,59,46,41
cell48,53,57,49,45,44,41,49,50,53,44,42,58,58,65,52
cell49,32,45,46,61,47,49,53,60,50,49,43,54,51,50,54
cell50,45,41,52,39,50,47,50,60,63,51,68,59,46,45,53
cell51,42,41,52,51,47,52,45,43,45,44,41,62,53,49,45
cell52,54,54,55,51,63,58,46,46,59,61,46,57,48,46,48
cell53,42,50,42,47,42,52,48,47,57,56,53,47,51,48,46
cell54,54,42,48,52,47,52,65,51,40,49,41,52,49,73,56
cell55,60,44,61,48,52,41,58,47,41,57,48,59,57,48,57
cell56,60,48,48,53,55,49,49,59,56,43,53,52,50,53,56
cell57,45,46,54,47,52,48,43,49,44,49,49,44,52,47,47
cell58,52,69,55,59,42,60,39,52,51,59,61,49,52,41,66
cell59,60,33,47,58,56,36,53,46,45,43,49,44,44,58,48
cell60,35,49,55,48,52,56,52,53,54,53,44,53,47,48,40
cell61,46,40,57,51,38,48,50,50,53,53,49,64,41,47,57
cell62,44,47,42,45,48,47,45,61,47,47,52,46,41,53,60
cell63,44,53,52,50,52,51,62,43,50,59,38,53,52,52,52
cell64,45,56,46,60,51,49,42,50,53,40,52,50,52,53,39
cell65,55,50,51,39,59,45,50,49,55,43,51,52,50,49,62
cell66,40,50,46,45,51,50,52,41,32,51,53,65,44,47,47
cell67,46,45,48,45,45,55,52,52,53,43,59,52,61,42,48
cell68,35,52,57,60,65,38,47,46,60,41,59,48,49,53,38
cell69,54,43,34,49,64,49,53,55,51,62,42,44,45,56,46
cell70,44,45,52,38,54,47,53,58,40,40,41,50,50,55,47
cell71,43,37,46,55,40,42,47,46,49,46,57,46,33,50,46
cell72,46,43,49,42,45,56,51,49,43,48,40,40,40,55,50
cell73,57,59,46,56,47,49,44,48,46,52,55,43,50,57,48
cell74,65,46,46,47,42,42,41,61,49,60,45,56,51,47,47
cell75,52,42,59,52,54,51,50,48,55,53,41,46,54,52,43
cell76,63,55,49,50,43,44,52,51,42,54,41,60,57,44,64
cell77,44,47,57,56,47,52,57,49,36,49,51,42,50,46,42
cell78,44,68,50,47,35,54,49,50,52,55,53,62,50,54,44
cell79,52,58,54,45,38,59,47,36,56,49,50,50,52,47,49
cell80,50,52,51,52,47,45,52,60,58,49,37,54,47,50,48
cell81,48,51,47,56,56,50,43,46,52,50,57,41,51,46,45
cell82,52,51,59,50,46,50,59,49,45,62,63,50,45,39,46
cell83,53,41,59,47,44,49,48,50,57,69,51,48,42,50,43
cell84,41,50,46,54,60,56,48,34,38,49,56,46,55,58,58
cell85,52,42,49,58,48,39,59,51,52,43,47,54,62,62,42
cell86,46,51,32,66,52,38,47,62,48,57,49,52,47,42,51
cell87,62,53,55,52,48,44,50,44,44,42,52,52,51,54,43
cell88,56,58,58,43,57,58,58,63,49,51,56,55,30,53,55
cell89,57,53,68,51,55,43,52,45,58,53,41,52,55,50,51
cell90,56,41,40,41,37,51,42,45,49,66,63,59,51,43,48
cell91,61,43,59,66,46,47,47,43,50,48,48,58,58,50,49
cell92,41,48,52,61,53,55,57,45,47,42,49,53,51,45,47
cell93,39,48,45,42,60,44,61,46,55,57,53,54,55,48,58
cell94,44,48,40,58,48,45,48,47,53,44,53,48,34,51,56
cell95,38,43,47,49,49,45,54,43,48,60,50,40,54,68,36
cell96,51,45,56,65,53,59,48,49,50,51,44,48,58,46,50
cell97,56,49,52,41,57,56,63,54,60,38,52,54,53,42,50
cell98,50,38,58,42,52,46,51,49,53,44,49,49,47,41,64
cell99,45,55,53,46,53,54,44,57,48,53,52,47,48,49,39
cell100,52,60,54,44,59,49,50,39,39,57,41,63,45,54,50
cell101,52,54,67,58,47,48,51,42,35,55,42,59,52,40,48
cell102,46,41,64,47,45,48,65,48,53,56,56,49,42,50,43
cell103,60,46,54,61,43,34,58,54,52,53,50,54,42,43,52
cell104,51,53,59,55,67,45,47,52,42,54,33,51,41,46,41
