	mut10	mut10	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4	mut5	mut5	mut6	mut6	mut7	mut7	mut8	mut8	mut9	mut9
cell1	2	56	49	4	41	0	52	0	48	2	43	4	44	0	47	0	25	17	54	0
cell2	0	52	19	28	60	0	49	0	37	10	32	14	43	0	50	2	46	0	68	0
cell3	0	50	35	16	59	0	53	0	47	2	11	36	48	0	54	1	39	3	52	6
cell4	2	50	44	0	37	0	42	1	58	0	44	0	53	0	51	0	39	0	49	0
cell5	0	54	19	42	46	1	50	0	52	0	51	0	45	0	54	0	45	0	37	0
cell6	0	50	16	36	47	0	49	0	22	31	45	17	55	0	58	2	40	0	57	0
cell7	0	51	9	34	61	0	55	2	43	10	38	12	43	0	51	10	43	5	43	0
cell8	0	51	36	18	51	0	47	4	67	0	45	0	47	5	46	0	63	0	56	0
cell9	9	25	23	34	53	0	54	0	57	0	37	4	41	0	39	6	42	0	36	0
cell10	0	51	27	32	57	0	33	23	56	0	38	5	51	0	47	1	39	5	50	0
cell11	0	49	20	33	45	0	48	2	46	2	61	0	49	0	37	4	58	1	53	0
cell12	0	44	33	9	55	2	54	0	45	0	16	32	53	0	51	0	59	0	42	2
cell13	0	51	43	1	44	0	55	0	54	0	31	13	52	0	55	0	46	9	54	0
cell14	0	69	19	21	49	0	51	3	52	0	43	4	50	0	52	0	44	5	36	25
cell15	0	39	47	4	49	0	31	2	55	0	15	44	42	0	38	7	48	2	36	10
cell16	0	51	14	34	51	0	35	1	50	1	44	0	52	0	43	0	62	0	51	0
cell17	0	53	30	28	52	0	42	0	43	8	24	36	46	0	73	0	51	0	56	0
cell18	0	56	31	15	40	4	51	0	38	17	27	8	51	0	48	1	46	0	55	0
cell19	0	43	6	51	51	0	57	0	50	0	38	4	37	15	51	0	51	0	49	0
cell20	1	51	30	13	43	2	55	0	52	2	43	14	50	0	54	0	47	2	57	0
cell21	9	44	25	34	43	0	32	10	55	0	36	7	33	0	48	0	42	6	42	0
cell22	2	58	53	0	31	19	57	0	46	0	51	0	46	0	42	0	69	0	51	0
cell23	0	47	23	31	41	0	55	0	47	0	23	22	55	0	47	0	43	1	50	0
cell24	0	38	35	19	50	0	46	0	46	10	35	13	47	0	32	21	54	0	53	0
cell25	0	53	55	7	34	1	61	0	47	0	36	11	50	2	57	6	28	18	58	0
cell26	1	46	14	22	40	0	53	0	20	35	54	8	48	2	48	0	50	0	50	0
cell27	0	41	44	0	57	0	58	0	47	4	27	22	46	1	47	0	55	0	42	4
cell28	0	52	56	1	47	0	53	0	47	0	41	4	47	2	50	0	48	1	47	0
cell29	0	43	33	11	37	0	50	0	48	0	29	13	44	3	43	0	46	5	56	3
cell30	0	49	26	27	57	0	44	0	50	0	55	7	48	0	36	0	42	10	32	0
cell31	0	36	49	0	45	2	45	0	48	0	62	0	46	1	41	0	45	0	45	0
cell32	2	60	19	31	48	0	51	0	38	4	25	32	49	0	27	13	42	0	41	0
cell33	0	39	42	0	18	28	40	0	44	0	43	4	47	1	49	0	54	0	54	0
cell34	0	49	6	51	50	0	39	0	46	1	43	0	47	0	51	0	61	0	51	0
cell35	0	52	52	0	0	51	55	0	66	0	36	0	51	0	55	0	54	0	54	0
cell36	1	68	33	2	49	0	60	0	49	0	29	17	58	0	55	0	25	20	48	0
cell37	0	38	48	0	23	23	47	4	51	0	49	0	43	0	60	2	56	1	43	0
cell38	2	49	3	52	58	0	59	0	24	30	36	9	54	0	35	9	64	0	48	0
cell39	1	53	52	2	44	0	45	0	50	0	44	1	30	9	48	0	38	0	45	0
cell40	0	40	42	8	44	0	53	0	54	1	45	0	39	0	45	0	41	1	65	0
cell41	0	60	45	0	45	5	53	0	43	1	57	0	48	0	42	0	59	1	44	0
cell42	0	62	64	0	61	0	54	0	38	0	40	0	56	0	53	0	57	0	64	0
cell43	0	44	42	8	51	0	48	0	34	0	36	15	58	0	47	0	51	0	50	0
cell44	0	55	51	4	52	1	45	0	42	0	39	7	51	0	51	0	51	3	48	0
cell45	11	20	23	26	50	0	43	0	49	0	22	30	57	2	63	0	55	0	54	0
cell46	0	50	33	20	69	0	38	0	37	11	20	29	35	12	49	0	57	0	46	0
cell47	0	49	45	0	24	20	56	0	50	2	31	0	51	0	37	0	59	0	49	0
cell48	0	46	48	3	50	0	51	8	58	0	50	2	45	4	50	0	37	13	39	0
cell49	2	38	47	0	48	0	52	0	52	1	52	1	42	0	55	0	55	0	48	1
cell50	0	49	39	4	42	4	45	2	45	0	42	0	52	0	51	0	51	5	45	0
