,mut5,mut1,mut2,mut3,mut4
cell1,44,55,56,49,38
cell2,45,41,38,48,54
cell3,57,34,49,49,42
cell4,47,51,42,59,48
cell5,50,44,47,56,43
cell6,43,40,55,49,40
cell7,53,45,45,53,51
cell8,53,46,60,46,46
cell9,51,50,45,47,36
cell10,54,44,49,40,52
cell11,48,43,34,43,44
cell12,47,59,49,42,53
cell13,43,68,50,58,50
cell14,55,52,55,51,52
cell15,44,41,52,52,51
cell16,59,43,43,41,46
cell17,60,42,37,46,58
cell18,47,70,61,56,71
cell19,49,56,49,64,56
cell20,66,49,48,49,44
cell21,54,54,57,60,44
cell22,60,49,46,49,44
cell23,45,48,52,39,58
cell24,58,41,57,48,42
cell25,47,60,61,43,67
cell26,43,45,54,54,55
cell27,42,42,60,41,43
cell28,49,49,55,47,52
cell29,55,49,45,45,57
cell30,53,54,39,49,52
cell31,46,57,43,51,53
cell32,56,48,47,35,54
cell33,45,45,48,46,41
cell34,48,43,61,56,62
cell35,53,50,47,40,57
cell36,41,46,48,45,52
cell37,55,52,47,52,55
cell38,53,58,55,45,51
cell39,40,54,42,45,50
cell40,50,48,45,52,51
cell41,59,53,50,69,36
cell42,49,44,36,56,55
cell43,38,40,56,37,35
cell44,50,52,50,52,52
cell45,55,49,41,40,40
cell46,47,45,40,45,52
cell47,48,48,41,46,52
cell48,51,43,47,40,51
cell49,61,48,46,54,49
cell50,56,54,51,55,49
