	mut5	mut5	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4
cell1	1	43	55	0	56	0	49	0	36	2
cell2	0	45	8	33	21	17	32	16	54	0
cell3	0	57	5	29	20	29	32	17	37	5
cell4	0	47	15	36	10	32	42	17	42	6
cell5	0	50	36	8	46	1	56	0	43	0
cell6	0	43	40	0	55	0	49	0	40	0
cell7	0	53	31	14	12	33	31	22	51	0
cell8	0	53	7	39	5	55	27	19	27	19
cell9	0	51	7	43	13	32	28	19	32	4
cell10	2	52	10	34	22	27	30	10	52	0
cell11	0	48	11	32	19	15	26	17	44	0
cell12	0	47	9	50	49	0	42	0	53	0
cell13	0	43	5	63	50	0	58	0	49	1
cell14	0	55	51	1	50	5	48	3	52	0
cell15	1	43	40	1	52	0	52	0	51	0
cell16	1	58	29	14	43	0	41	0	46	0
cell17	0	60	14	28	37	0	44	2	58	0
cell18	0	47	6	64	12	49	19	37	71	0
cell19	0	49	20	36	15	34	49	15	51	5
cell20	0	66	13	36	9	39	26	23	35	9
cell21	0	54	53	1	57	0	59	1	44	0
cell22	1	59	16	33	26	20	30	19	44	0
cell23	0	45	24	24	39	13	39	0	58	0
cell24	0	58	8	33	24	33	42	6	42	0
cell25	0	47	19	41	37	24	43	0	67	0
cell26	3	40	4	41	12	42	54	0	55	0
cell27	0	42	41	1	57	3	40	1	43	0
cell28	0	49	10	39	20	35	16	31	45	7
cell29	0	55	8	41	21	24	32	13	55	2
cell30	0	53	12	42	39	0	49	0	52	0
cell31	0	46	28	29	43	0	51	0	51	2
cell32	0	56	19	29	33	14	35	0	53	1
cell33	0	45	4	41	12	36	27	19	40	1
cell34	1	47	6	37	25	36	34	22	55	7
cell35	4	49	14	36	28	19	40	0	55	2
cell36	0	41	21	25	36	12	45	0	50	2
cell37	0	55	4	48	7	40	43	9	55	0
cell38	0	53	2	56	55	0	45	0	50	1
cell39	0	40	52	2	42	0	36	9	49	1
cell40	0	50	48	0	40	5	52	0	51	0
cell41	0	59	18	35	49	1	69	0	36	0
cell42	0	49	10	34	19	17	50	6	53	2
cell43	0	38	16	24	41	15	35	2	35	0
cell44	0	50	15	37	19	31	42	10	52	0
cell45	0	55	11	38	16	25	40	0	40	0
cell46	0	47	45	0	40	0	45	0	52	0
cell47	0	48	48	0	41	0	46	0	52	0
cell48	10	41	18	25	47	0	40	0	51	0
cell49	6	55	44	4	46	0	54	0	49	0
cell50	0	56	12	42	51	0	55	0	49	0
