	cell1	cell1	cell2	cell2	cell3	cell3	cell4	cell4	cell5	cell5	cell6	cell6	cell7	cell7	cell8	cell8	cell9	cell9	cell10	cell10	cell11	cell11	cell12	cell12	cell13	cell13	cell14	cell14	cell15	cell15	cell16	cell16	cell17	cell17	cell18	cell18	cell19	cell19	cell20	cell20	cell21	cell21	cell22	cell22	cell23	cell23	cell24	cell24	cell25	cell25	cell26	cell26	cell27	cell27	cell28	cell28	cell29	cell29	cell30	cell30	cell31	cell31	cell32	cell32	cell33	cell33	cell34	cell34	cell35	cell35	cell36	cell36	cell37	cell37	cell38	cell38	cell39	cell39	cell40	cell40	cell41	cell41	cell42	cell42	cell43	cell43	cell44	cell44	cell45	cell45	cell46	cell46	cell47	cell47	cell48	cell48	cell49	cell49	cell50	cell50
mut10	0	62	0	56	0	47	0	50	0	45	0	52	0	47	0	38	0	50	0	52	0	51	2	56	0	50	0	41	0	55	0	63	0	50	1	54	0	41	0	44	0	53	0	43	3	52	0	65	0	57	0	44	0	52	0	51	0	52	0	58	0	49	0	51	0	47	0	52	0	50	0	46	0	52	0	52	0	56	0	46	0	52	4	43	2	43	0	41	0	65	0	38	0	52	0	50	0	50	0	48
mut1	15	52	6	32	50	0	0	49	6	39	11	30	19	37	50	2	11	39	5	56	6	38	48	0	55	1	2	53	58	0	42	2	33	20	4	41	57	0	0	61	37	1	33	25	26	12	47	0	18	23	57	0	29	5	16	43	24	35	23	17	1	46	1	57	53	0	48	0	6	53	39	9	12	27	38	7	34	10	12	37	1	38	0	56	6	38	1	48	46	0	58	0	4	44	9	48	22	7	34	16
mut2	58	0	47	0	55	0	52	0	35	0	42	2	57	0	33	0	58	1	44	0	42	0	54	0	53	2	57	0	50	0	46	0	53	0	49	0	48	0	24	9	40	0	58	0	57	0	55	0	42	0	58	0	61	0	39	0	49	0	12	37	56	0	51	0	42	0	56	2	52	1	42	1	36	2	50	0	41	7	52	0	44	0	57	0	56	1	57	0	38	7	48	0	41	0	45	1	52	0	44	2
mut3	19	29	33	15	42	0	14	38	45	13	64	0	42	13	39	8	35	30	25	21	40	19	39	6	56	0	19	26	43	3	48	0	26	19	12	39	53	1	36	14	37	0	41	10	47	0	56	1	37	20	47	2	36	2	36	13	24	26	42	0	25	34	47	13	50	0	47	0	25	25	37	0	55	0	47	7	65	0	42	0	35	8	30	32	24	32	23	19	37	0	60	0	27	27	30	19	50	9	52	0
mut4	37	9	29	26	58	0	23	11	51	10	40	0	65	0	66	0	43	0	50	7	45	11	49	0	68	0	15	33	55	0	53	0	39	4	43	1	50	0	41	16	60	1	55	5	49	0	45	0	42	0	47	0	54	0	41	6	29	12	51	0	41	7	34	8	46	0	47	1	57	4	58	0	50	2	57	1	49	0	54	0	42	7	41	5	51	2	27	29	59	0	58	0	24	17	31	27	38	4	50	0
mut5	46	6	37	12	50	0	26	19	43	8	43	0	49	0	39	0	37	0	33	18	43	0	47	0	47	0	48	0	40	1	50	0	48	6	43	3	55	0	21	32	45	0	39	13	47	0	53	0	62	0	50	2	47	0	45	8	39	11	58	0	50	1	38	2	39	0	39	0	47	0	62	0	48	3	44	0	39	0	47	0	42	6	29	22	26	18	35	2	46	0	44	0	22	37	53	6	48	1	46	0
mut6	46	8	44	17	49	0	47	8	57	3	46	0	56	1	63	1	47	0	42	8	45	0	34	0	54	3	40	0	41	1	51	0	34	3	39	0	49	0	17	34	56	0	43	0	51	0	40	0	48	0	57	0	62	0	38	0	49	0	57	1	41	13	58	0	48	0	36	2	59	0	54	0	52	0	53	0	59	0	53	0	32	18	37	19	35	7	47	0	63	0	65	2	39	9	50	2	62	0	55	0
mut7	45	0	49	0	51	0	39	14	43	1	50	0	52	0	49	0	54	0	40	2	55	0	61	0	52	0	51	0	42	0	56	1	47	2	64	0	53	0	52	7	59	2	47	4	54	0	47	0	37	3	58	0	64	0	55	0	56	0	45	0	45	1	53	0	55	0	46	0	44	0	56	0	53	0	53	0	50	0	55	0	51	0	47	5	40	0	44	0	50	0	49	0	56	0	42	3	62	0	46	0
mut8	48	3	47	1	55	0	51	1	50	0	55	0	69	0	49	0	49	0	44	9	40	1	53	0	44	2	44	0	48	0	52	0	36	9	58	0	49	1	36	15	35	0	48	0	45	0	54	0	41	0	50	0	48	0	51	0	57	0	51	1	39	7	36	0	54	0	50	0	50	0	51	0	54	1	51	0	42	0	45	0	39	6	33	20	51	0	47	0	44	0	51	0	43	7	34	4	58	0	54	0
mut9	43	0	35	0	60	0	55	0	43	0	45	1	62	0	49	0	43	0	51	0	42	0	58	1	47	1	51	0	56	0	49	0	57	0	41	0	49	1	54	0	48	10	53	0	41	0	49	0	69	0	8	40	56	0	54	0	54	0	56	0	60	2	35	0	50	2	48	0	48	0	55	0	53	0	46	0	60	0	43	0	50	0	43	0	51	0	44	0	58	0	38	20	52	0	56	0	55	2	45	0
