,mut5,mut1,mut2,mut3,mut4
cell1,42,48,44,49,44
cell2,46,45,52,54,51
cell3,47,56,49,64,43
cell4,57,44,53,66,49
cell5,50,47,63,53,54
cell6,47,45,54,47,39
cell7,50,55,50,41,54
cell8,45,49,55,49,48
cell9,59,44,39,41,41
cell10,55,52,41,47,53
cell11,54,50,48,39,58
cell12,44,36,34,59,54
cell13,47,61,43,54,47
cell14,58,47,49,53,51
cell15,35,55,51,47,49
cell16,50,51,53,53,52
cell17,54,49,44,51,58
cell18,46,45,48,55,50
cell19,50,44,45,49,59
cell20,49,59,49,43,56
cell21,54,45,45,42,52
cell22,51,49,51,48,49
cell23,47,53,66,65,46
cell24,47,38,52,37,41
cell25,65,42,53,57,52
cell26,45,58,55,50,64
cell27,48,45,50,49,47
cell28,45,41,54,47,56
cell29,43,41,52,41,49
cell30,59,50,47,50,55
cell31,49,34,56,37,49
cell32,47,55,50,48,49
cell33,64,56,61,48,57
cell34,52,53,38,52,54
cell35,50,40,45,48,54
cell36,51,51,45,57,47
cell37,42,46,50,55,53
cell38,54,60,34,43,47
cell39,52,45,39,59,54
cell40,46,47,59,39,45
cell41,43,47,58,54,48
cell42,47,46,47,48,45
cell43,48,44,60,47,46
cell44,47,61,50,54,65
cell45,43,50,52,57,56
cell46,48,44,51,50,42
cell47,61,54,57,49,68
cell48,45,48,43,49,48
cell49,51,42,36,51,58
cell50,54,58,40,36,56
