,mut15,mut1,mut2,mut3,mut4,mut5,mut6,mut7,mut8,mut9,mut10,mut11,mut12,mut13,mut14
cell1,49,39,57,48,60,47,51,51,61,38,56,48,51,50,49
cell2,51,51,41,68,39,53,45,45,62,53,65,43,50,46,57
cell3,46,42,51,50,50,53,65,39,40,50,54,52,60,47,67
cell4,54,51,49,56,50,58,44,52,43,52,58,48,47,56,55
cell5,57,55,42,38,48,46,48,63,46,47,41,44,49,44,58
cell6,48,52,49,56,47,58,55,55,58,48,45,47,35,52,56
cell7,48,40,48,57,40,45,54,50,46,48,46,58,50,44,54
cell8,53,62,62,58,64,47,44,45,61,44,48,47,49,44,51
cell9,54,56,53,47,46,54,52,45,36,57,43,52,61,47,63
cell10,57,52,42,48,40,49,56,62,54,47,51,45,46,52,41
cell11,62,55,35,54,52,45,58,56,53,55,59,30,62,46,51
cell12,43,50,48,50,50,44,47,45,45,57,55,55,62,54,36
cell13,48,49,49,47,45,55,41,47,55,65,65,55,41,51,34
cell14,51,50,48,50,64,57,44,52,51,54,52,55,40,45,39
cell15,44,54,46,58,50,53,50,39,46,52,55,61,50,58,54
cell16,56,61,54,52,51,53,48,53,49,42,52,53,42,53,51
cell17,54,52,62,45,51,47,56,51,52,46,59,46,55,44,52
cell18,44,60,57,38,58,55,56,49,46,49,57,47,44,45,51
cell19,45,69,47,39,41,49,47,49,45,44,56,55,47,47,44
cell20,46,48,57,53,52,44,44,49,54,34,77,49,50,45,46
cell21,55,47,51,62,48,60,46,44,50,48,41,49,41,44,50
cell22,42,46,53,45,58,45,48,59,48,46,53,55,44,60,45
cell23,53,61,46,49,42,55,45,51,44,55,44,48,51,47,57
cell24,51,51,52,46,49,48,47,51,52,53,41,53,45,58,49
cell25,43,57,47,56,64,57,42,52,42,44,47,56,58,58,47
cell26,50,53,47,48,45,61,38,52,57,30,44,51,59,39,53
cell27,53,43,47,43,39,41,51,39,38,46,56,48,50,54,65
cell28,50,50,51,56,40,53,51,37,57,47,57,51,49,51,38
cell29,58,62,59,47,55,57,39,44,50,39,51,51,61,53,46
cell30,45,53,46,56,58,36,54,48,42,49,44,51,40,42,49
cell31,56,47,40,51,64,39,55,55,52,56,46,56,55,56,52
cell32,57,49,58,49,49,52,50,56,43,43,52,49,49,47,43
cell33,53,56,46,49,42,42,59,58,50,59,49,62,48,39,41
cell34,51,54,53,41,49,49,58,52,54,41,59,50,56,53,49
cell35,47,44,56,42,50,43,47,42,46,58,60,56,62,61,42
cell36,40,51,58,32,47,42,43,50,44,48,42,46,45,49,49
cell37,46,52,48,48,53,59,45,53,39,49,55,52,46,57,47
cell38,46,58,52,51,46,47,58,43,48,43,46,50,33,43,69
cell39,56,47,56,49,47,51,41,44,45,58,48,63,47,49,50
cell40,42,44,43,51,55,48,50,47,41,49,57,49,48,61,59
cell41,45,55,49,48,40,46,51,54,45,39,53,48,41,55,34
cell42,51,39,56,46,57,45,50,47,63,55,49,63,57,48,42
cell43,46,55,59,56,59,38,47,42,47,47,46,55,55,51,44
cell44,39,38,39,47,40,52,48,51,45,44,38,47,50,32,49
cell45,46,54,54,54,52,59,50,59,49,51,66,48,51,51,47
cell46,53,40,60,59,59,56,52,65,40,57,53,55,43,47,45
cell47,43,48,44,50,44,49,50,49,54,45,47,48,39,49,51
cell48,54,52,37,45,54,59,54,40,57,53,61,53,34,55,46
cell49,47,53,54,51,53,52,43,59,47,60,46,51,48,44,62
cell50,48,51,57,64,47,42,47,49,51,41,51,49,49,51,53
cell51,59,53,42,45,32,50,43,40,55,51,52,57,52,46,38
cell52,51,51,56,45,58,52,47,55,37,66,51,53,47,49,57
cell53,59,60,48,41,39,60,37,53,40,55,57,47,44,52,52
cell54,53,51,48,48,57,53,49,62,44,51,53,50,49,47,57
cell55,43,37,46,52,56,54,66,59,45,54,52,47,48,40,54
cell56,55,64,57,54,50,53,43,52,40,42,54,56,51,54,63
cell57,36,36,51,42,46,64,52,49,45,56,57,41,33,54,45
cell58,40,40,41,53,52,57,61,50,59,60,51,36,52,51,50
cell59,60,49,49,53,53,48,65,62,62,44,43,49,54,46,49
cell60,56,46,57,58,49,48,60,54,40,57,43,37,37,42,41
cell61,45,47,46,51,53,46,54,47,46,46,60,60,49,62,48
cell62,50,45,50,44,51,47,44,46,48,51,44,54,49,57,45
cell63,53,50,42,58,50,49,71,60,52,58,50,44,56,51,54
cell64,55,50,49,44,64,54,62,61,54,54,51,43,41,58,55
cell65,56,63,55,41,42,58,56,48,62,47,67,56,53,48,47
cell66,58,46,52,50,56,40,46,45,45,52,61,40,56,51,53
cell67,52,46,54,41,58,53,56,50,55,61,44,46,46,52,56
cell68,51,54,49,54,62,57,56,45,54,52,42,44,39,58,47
cell69,57,51,51,47,45,53,58,54,51,55,51,42,55,53,53
cell70,53,46,45,45,52,46,54,48,40,45,51,49,58,46,51
cell71,48,28,44,52,58,47,58,47,51,60,55,50,58,50,51
cell72,59,55,50,45,47,56,39,50,41,62,41,33,50,56,52
cell73,43,57,42,42,59,63,54,46,50,49,46,42,53,50,58
cell74,49,59,37,46,40,54,64,50,39,42,45,42,55,54,44
cell75,52,48,48,44,49,47,54,41,55,50,36,33,54,52,54
cell76,42,39,54,51,42,47,50,49,48,51,49,69,56,46,62
cell77,56,47,49,69,43,47,51,51,44,63,61,53,51,48,60
cell78,54,51,49,50,41,49,54,59,57,51,37,38,52,38,59
cell79,53,43,45,35,54,62,51,50,42,42,58,60,39,44,52
cell80,47,50,40,47,39,46,46,49,42,49,47,58,38,51,47
cell81,47,51,50,63,53,53,59,52,47,54,57,44,52,49,40
cell82,47,59,46,33,62,61,59,50,53,52,42,63,50,51,59
cell83,59,49,47,45,51,46,48,40,47,48,51,48,43,58,48
cell84,59,51,50,44,59,53,55,59,57,53,48,38,48,43,44
cell85,43,62,54,41,50,45,47,50,45,58,49,43,52,57,57
cell86,56,56,42,54,59,47,56,54,64,61,36,53,36,56,57
cell87,47,51,57,65,52,44,42,63,46,43,56,51,43,42,43
cell88,57,56,45,48,54,50,53,55,60,47,59,56,53,57,39
cell89,64,51,58,51,46,41,52,46,50,52,57,62,65,42,51
cell90,43,40,42,63,47,52,46,45,49,35,45,61,51,50,45
cell91,51,54,36,52,52,64,48,53,52,44,53,50,48,40,53
cell92,39,39,45,47,62,43,54,49,53,49,47,55,48,60,48
cell93,58,48,53,57,42,41,39,51,51,53,49,43,56,46,51
cell94,42,50,56,47,61,61,48,48,52,40,48,53,53,60,57
