,mut5,mut1,mut2,mut3,mut4
cell1,56,46,57,48,46
cell2,60,57,48,40,40
cell3,48,43,42,41,53
cell4,51,47,57,39,46
cell5,45,48,55,36,44
cell6,65,45,48,54,46
cell7,49,46,59,58,51
cell8,44,48,48,41,56
cell9,41,58,40,47,46
cell10,50,59,44,66,51
cell11,51,62,55,54,49
cell12,41,45,39,52,39
cell13,48,43,49,39,44
cell14,51,65,44,56,31
cell15,51,47,57,48,56
cell16,61,38,47,47,50
cell17,44,55,65,45,37
cell18,58,49,46,44,46
cell19,48,59,53,49,44
cell20,50,51,46,55,38
cell21,58,47,45,62,57
cell22,45,36,54,62,53
cell23,55,65,40,55,49
cell24,39,58,57,54,49
cell25,47,53,47,37,64
cell26,47,46,69,60,45
cell27,57,58,42,60,52
cell28,54,49,54,62,51
cell29,46,48,38,47,58
cell30,53,52,47,49,52
cell31,51,38,57,48,48
cell32,59,54,53,44,43
cell33,46,53,33,38,58
cell34,42,46,56,45,45
cell35,57,60,60,59,38
cell36,48,45,51,57,51
cell37,49,47,51,44,59
cell38,53,48,45,63,55
cell39,51,42,49,63,44
cell40,46,58,42,44,37
cell41,55,54,55,59,50
cell42,50,36,37,50,59
cell43,46,47,50,54,48
cell44,45,61,50,50,53
cell45,59,74,43,45,50
cell46,55,42,54,58,45
cell47,54,52,63,57,41
cell48,48,52,45,55,43
cell49,42,43,53,47,55
cell50,52,43,54,49,53
cell51,41,54,56,52,52
cell52,50,43,49,54,41
cell53,42,58,46,55,44
cell54,59,53,47,39,63
cell55,46,55,57,38,52
cell56,48,44,53,53,58
cell57,58,54,43,45,38
cell58,64,70,39,57,64
cell59,46,45,61,56,64
cell60,45,41,48,62,56
cell61,47,45,58,44,46
cell62,50,45,53,45,64
cell63,51,52,62,56,51
cell64,46,48,59,46,47
cell65,44,66,50,39,60
cell66,50,53,34,50,46
cell67,53,51,69,53,55
cell68,43,43,64,51,43
cell69,64,62,48,45,50
cell70,51,56,46,66,52
cell71,46,44,69,40,46
cell72,44,42,56,60,41
cell73,56,53,54,45,55
cell74,59,47,42,50,50
cell75,42,64,57,45,50
cell76,58,49,48,45,62
cell77,61,40,60,52,66
cell78,58,45,38,46,50
cell79,56,66,53,51,38
cell80,58,50,75,45,53
cell81,49,55,50,54,58
cell82,48,49,47,51,59
cell83,44,55,43,42,55
cell84,51,47,55,57,52
cell85,57,60,64,54,51
cell86,55,37,46,59,60
cell87,56,51,54,48,54
cell88,40,47,61,39,59
cell89,62,66,55,52,49
cell90,45,60,49,40,44
cell91,50,48,49,48,36
cell92,50,54,65,49,50
cell93,68,52,39,53,47
cell94,56,46,49,39,41
cell95,47,44,48,67,43
cell96,54,47,48,49,58
cell97,37,54,49,44,51
cell98,49,42,39,48,60
cell99,39,49,57,46,55
cell100,66,40,44,58,55
cell101,55,53,59,60,48
cell102,61,62,55,52,41
cell103,50,42,42,47,39
cell104,60,48,50,52,42
cell105,63,34,59,53,49
cell106,46,48,56,34,41
cell107,60,39,49,46,64
cell108,50,55,51,54,56
cell109,55,43,42,58,41
cell110,49,58,46,43,35
cell111,55,51,48,63,34
cell112,56,58,49,42,48
cell113,41,44,45,52,50
cell114,48,41,53,46,42
cell115,58,51,51,41,50
cell116,53,47,57,70,43
cell117,59,57,47,47,46
cell118,64,45,44,49,48
cell119,53,49,40,55,52
cell120,31,46,39,57,48
cell121,62,54,47,49,49
cell122,59,52,51,56,49
cell123,53,36,51,58,53
cell124,47,55,46,44,45
cell125,50,50,49,58,49
cell126,50,51,42,55,44
cell127,47,38,51,52,44
cell128,64,53,29,54,43
cell129,49,53,38,51,62
cell130,48,52,59,40,39
cell131,59,53,45,38,62
cell132,57,51,26,48,51
cell133,49,53,57,46,62
cell134,45,52,59,30,60
cell135,47,46,37,49,44
cell136,59,47,48,57,62
cell137,54,47,57,45,56
cell138,50,42,53,58,48
cell139,55,45,52,69,43
cell140,57,48,54,47,59
cell141,49,53,46,44,41
cell142,50,59,42,57,50
cell143,42,49,50,45,62
cell144,44,56,33,38,40
cell145,56,43,49,64,45
cell146,56,62,62,48,49
cell147,52,49,58,54,49
cell148,51,53,62,53,51
cell149,43,57,47,38,55
cell150,54,55,60,38,39
cell151,53,46,39,52,59
cell152,49,46,55,55,41
cell153,38,37,45,48,48
cell154,47,46,49,53,65
cell155,53,52,44,52,42
cell156,43,50,53,49,52
cell157,54,53,51,44,54
cell158,43,49,54,59,55
cell159,35,43,57,57,37
cell160,49,45,44,47,46
cell161,48,50,44,46,63
cell162,50,41,43,48,49
cell163,45,52,53,51,54
cell164,47,46,60,48,52
cell165,55,52,51,43,55
cell166,49,42,48,47,50
cell167,43,41,49,55,54
cell168,45,39,47,49,43
cell169,42,51,50,52,49
cell170,57,37,53,59,45
cell171,53,49,56,52,57
cell172,45,51,45,44,48
cell173,50,53,43,62,59
cell174,44,46,56,34,49
cell175,48,62,56,41,46
cell176,67,49,53,43,63
cell177,37,51,58,62,59
cell178,48,43,56,57,44
cell179,48,48,35,62,52
cell180,53,48,47,44,46
cell181,54,51,58,47,58
cell182,50,51,57,36,45
cell183,41,53,46,41,43
cell184,37,44,48,57,40
cell185,57,62,40,40,61
cell186,52,42,45,35,58
cell187,48,57,48,70,33
cell188,49,46,51,39,51
cell189,48,56,38,53,53
cell190,66,41,61,50,51
cell191,40,51,51,47,68
cell192,52,56,47,65,51
cell193,50,61,62,49,42
cell194,60,52,55,36,54
cell195,47,47,55,44,60
cell196,52,41,51,44,61
cell197,53,54,51,48,57
cell198,54,54,59,41,44
cell199,53,43,45,54,52
cell200,53,49,42,52,45
cell201,50,45,49,59,54
cell202,55,51,57,51,57
cell203,54,53,47,44,55
cell204,50,47,55,58,48
cell205,47,58,49,43,53
cell206,50,56,49,53,52
cell207,48,48,59,38,49
cell208,38,51,33,44,56
cell209,42,52,45,46,47
cell210,57,56,45,35,47
cell211,49,43,51,58,38
cell212,40,49,59,51,50
cell213,52,54,39,43,51
cell214,47,49,57,49,51
cell215,51,59,50,48,57
cell216,43,53,46,50,57
cell217,61,58,51,51,54
cell218,58,44,42,49,58
cell219,53,52,54,52,56
cell220,58,41,60,46,62
cell221,49,64,39,58,42
cell222,52,51,73,60,52
cell223,35,40,47,43,52
cell224,62,49,61,55,49
cell225,57,47,45,51,46
cell226,50,45,44,41,59
cell227,48,51,39,47,54
cell228,48,49,36,52,49
cell229,46,57,48,51,43
cell230,49,51,54,49,57
cell231,51,48,46,63,47
cell232,54,57,38,51,51
