,mut5,mut1,mut2,mut3,mut4
cell1,47,55,53,56,53
cell2,67,60,40,52,49
cell3,45,54,50,49,45
cell4,43,71,68,56,47
cell5,39,48,41,49,61
cell6,51,69,52,58,48
cell7,47,56,44,51,53
cell8,31,40,52,47,44
cell9,53,62,52,63,61
cell10,48,47,40,48,47
cell11,44,57,47,57,59
cell12,46,50,43,52,42
cell13,54,48,69,61,43
cell14,47,60,44,59,57
cell15,54,53,49,51,47
cell16,41,49,47,47,56
cell17,60,53,45,56,46
cell18,49,59,54,36,50
cell19,50,50,50,60,57
cell20,53,55,45,39,47
cell21,47,42,40,44,56
cell22,43,45,53,54,56
cell23,53,47,49,62,41
cell24,62,44,51,57,50
cell25,43,56,50,59,55
cell26,61,51,47,47,56
cell27,38,57,54,50,52
cell28,49,49,58,52,52
cell29,52,37,50,43,59
cell30,34,42,55,64,52
cell31,39,52,56,38,41
cell32,45,59,52,64,41
cell33,54,49,52,46,41
cell34,50,43,28,46,36
cell35,55,61,49,48,46
cell36,39,63,35,59,52
cell37,51,49,43,67,43
cell38,40,51,66,37,46
cell39,60,49,50,41,53
cell40,38,52,53,48,50
cell41,54,48,42,54,54
cell42,52,57,41,48,43
cell43,58,55,44,51,51
cell44,62,53,50,55,49
cell45,52,50,56,60,61
cell46,61,41,49,53,66
cell47,42,50,50,62,51
cell48,52,51,39,56,53
cell49,46,51,48,45,55
cell50,59,48,47,53,42
cell51,46,42,40,49,56
cell52,70,55,59,62,50
cell53,52,47,44,38,58
cell54,38,48,51,56,45
cell55,50,53,64,50,34
cell56,45,48,47,55,53
cell57,45,53,50,55,53
cell58,43,46,55,59,41
cell59,54,47,49,56,46
cell60,55,49,49,58,66
cell61,49,49,40,42,47
cell62,48,48,58,45,55
cell63,50,50,53,71,50
cell64,43,57,37,58,61
cell65,49,49,43,54,57
cell66,49,43,57,47,47
cell67,44,47,51,53,61
cell68,62,43,44,40,44
cell69,45,39,48,38,53
cell70,48,53,57,51,59
cell71,48,43,53,55,52
cell72,51,58,44,44,41
cell73,53,51,49,50,60
cell74,46,50,52,46,51
cell75,49,56,36,42,50
cell76,51,47,45,51,39
cell77,47,51,46,57,54
cell78,61,50,47,57,54
cell79,50,43,53,61,48
cell80,52,40,53,46,56
cell81,43,49,48,61,37
cell82,50,46,43,55,48
cell83,43,52,66,49,51
cell84,44,50,41,57,48
cell85,46,59,51,49,44
cell86,46,40,53,53,60
cell87,40,44,46,56,52
cell88,36,58,49,56,49
cell89,44,51,50,51,42
cell90,49,50,47,53,61
cell91,52,59,44,51,52
cell92,51,56,54,47,52
cell93,50,63,61,39,51
cell94,54,55,40,47,49
cell95,63,55,51,41,60
cell96,43,56,51,45,51
cell97,41,41,51,39,48
cell98,45,59,48,55,48
cell99,45,48,39,57,56
cell100,55,46,59,59,46
