	mut5	mut5	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4
cell1	0	65	6	43	56	1	22	30	69	0
cell2	0	62	11	27	42	10	33	0	47	0
cell3	0	66	6	33	63	1	49	0	49	0
cell4	0	49	50	0	50	0	59	0	65	0
cell5	0	43	0	37	46	1	29	25	49	0
cell6	0	43	52	0	61	0	44	0	46	0
cell7	0	57	12	39	49	1	42	0	42	11
cell8	0	51	51	0	43	1	42	0	59	0
cell9	0	56	14	29	45	0	53	2	41	0
cell10	0	42	17	41	46	2	54	0	45	0
cell11	0	49	3	44	30	4	37	24	50	3
cell12	0	59	0	50	56	0	20	35	56	0
cell13	0	68	47	0	57	0	52	0	46	0
cell14	6	42	13	28	39	16	57	0	44	1
cell15	1	47	25	23	40	0	37	14	44	0
cell16	0	51	10	45	58	0	50	0	25	21
cell17	0	55	13	28	42	0	41	1	42	6
cell18	0	56	1	62	44	0	46	0	6	42
cell19	0	53	23	27	51	0	44	13	52	0
cell20	0	49	36	14	53	0	51	2	45	0
cell21	0	43	1	53	37	0	14	35	44	1
cell22	0	57	55	0	45	0	49	0	51	0
cell23	0	44	6	40	39	0	58	6	40	18
cell24	0	41	24	17	57	0	47	1	54	0
cell25	0	50	55	0	49	0	52	1	48	2
cell26	0	50	38	6	61	0	32	1	49	1
cell27	0	57	39	14	51	0	59	0	37	14
cell28	4	50	53	0	38	0	40	0	37	0
cell29	0	61	11	34	56	0	61	0	33	2
cell30	0	58	38	5	49	9	58	0	50	1
cell31	0	60	25	27	35	8	51	0	48	0
cell32	0	53	52	3	38	0	57	0	46	1
cell33	0	49	21	26	50	1	54	0	34	11
cell34	0	41	32	33	47	0	55	0	57	0
cell35	1	44	50	3	40	0	47	0	54	0
cell36	0	49	9	48	33	8	42	0	57	0
cell37	5	37	40	22	48	0	40	0	31	10
cell38	0	69	31	13	57	0	57	1	49	0
cell39	0	47	52	0	57	0	58	0	50	0
cell40	0	48	17	35	34	0	57	4	38	0
cell41	0	54	34	13	62	0	64	0	48	0
cell42	0	56	51	0	59	0	39	0	42	7
cell43	0	47	25	28	33	5	53	2	51	0
cell44	0	54	52	0	59	0	49	0	50	0
cell45	0	41	19	31	49	0	56	0	53	4
cell46	0	54	35	23	4	36	49	0	42	0
cell47	0	51	58	0	58	0	45	0	52	0
cell48	0	56	10	39	47	0	56	0	59	0
cell49	0	48	50	1	54	0	46	0	46	0
cell50	0	62	1	50	52	6	51	0	60	0
cell51	0	42	6	34	57	1	53	0	36	0
cell52	1	34	5	42	53	0	34	8	50	0
cell53	1	45	18	21	47	1	54	1	14	40
cell54	0	52	51	1	47	1	58	0	47	0
cell55	0	48	3	36	38	0	46	0	50	0
cell56	0	48	14	36	37	22	53	0	50	0
cell57	0	61	19	28	59	0	37	7	50	0
cell58	0	48	11	35	48	0	43	0	33	4
cell59	0	58	62	0	54	0	56	0	50	1
cell60	0	55	10	42	39	0	38	0	49	6
cell61	0	52	21	30	47	5	53	0	55	0
cell62	0	53	44	8	43	2	50	0	52	2
cell63	0	58	4	40	53	0	11	42	51	0
cell64	0	46	15	41	36	8	48	0	64	1
cell65	0	49	8	31	31	28	50	0	42	0
cell66	0	60	1	45	49	0	52	0	11	31
cell67	2	52	27	20	52	1	55	0	44	1
cell68	0	43	52	0	39	0	43	1	43	0
cell69	0	49	20	28	46	4	51	0	44	1
cell70	0	50	20	27	56	0	57	0	58	4
cell71	0	46	35	16	56	0	52	0	53	0
cell72	0	43	4	41	44	0	51	6	56	0
cell73	0	53	7	37	9	33	36	4	51	0
cell74	0	51	7	34	49	0	15	42	42	0
cell75	1	55	1	36	46	1	44	0	14	33
cell76	0	44	65	0	46	0	45	0	37	0
cell77	0	59	4	42	28	35	49	1	44	0
cell78	0	58	16	22	58	0	48	0	60	0
cell79	0	58	24	20	67	0	49	0	51	0
cell80	0	58	5	47	42	6	41	0	54	0
cell81	0	41	47	12	48	0	36	20	50	0
cell82	3	49	23	27	54	3	27	19	49	0
cell83	0	58	22	37	51	1	45	0	38	0
cell84	0	56	35	15	29	0	52	0	59	0
cell85	0	42	34	15	62	0	62	0	58	0
cell86	2	55	8	40	50	0	46	0	52	0
cell87	0	50	2	44	55	0	46	0	54	0
cell88	0	45	15	34	47	0	49	0	41	16
cell89	0	53	46	5	51	2	44	6	65	0
cell90	0	45	2	52	48	0	45	0	37	8
cell91	0	55	9	48	41	4	16	19	40	0
cell92	2	28	50	0	49	1	36	0	46	0
cell93	0	46	4	44	37	0	43	0	22	27
cell94	0	59	38	9	50	0	46	0	51	0
cell95	0	39	10	40	44	0	48	0	21	20
cell96	0	58	53	0	47	0	39	0	46	0
cell97	0	47	9	25	56	0	56	0	30	10
cell98	0	55	23	26	56	0	38	1	50	0
cell99	0	56	3	42	41	0	41	17	51	1
cell100	0	45	30	19	43	0	55	1	50	0
cell101	5	46	0	54	13	47	46	0	53	1
cell102	0	46	51	10	61	0	39	13	49	0
cell103	9	34	5	54	43	0	11	41	44	0
cell104	1	45	12	27	54	0	45	0	47	0
cell105	0	53	16	31	54	0	49	0	12	32
cell106	0	50	48	0	45	0	49	0	49	7
cell107	0	41	1	48	34	0	30	16	51	0
cell108	0	48	3	53	28	9	50	0	53	0
cell109	0	59	56	0	47	0	57	0	57	0
cell110	0	46	26	25	54	0	50	6	53	0
cell111	0	51	4	47	51	4	6	46	57	0
cell112	0	55	12	31	52	0	9	35	46	5
cell113	1	36	8	40	38	0	56	2	46	1
cell114	3	55	24	23	48	0	41	0	30	10
cell115	0	53	11	40	60	0	50	0	56	0
cell116	2	51	42	0	54	0	58	0	40	0
cell117	0	47	21	38	23	26	51	0	51	0
cell118	0	46	0	44	36	0	45	0	27	15
cell119	0	48	19	31	43	9	55	6	46	3
cell120	0	36	58	0	57	1	51	0	39	0
cell121	0	55	50	0	49	0	36	6	51	0
cell122	0	47	9	41	54	0	48	0	40	16
cell123	0	47	58	0	61	0	58	0	51	1
cell124	1	45	0	38	56	0	50	3	20	30
cell125	0	45	47	0	55	0	51	1	50	0
cell126	0	50	10	39	48	4	43	0	57	0
