,mut5,mut1,mut2,mut3,mut4
cell1,46,54,50,49,58
cell2,44,48,62,57,56
cell3,51,51,54,42,49
cell4,50,36,56,55,58
cell5,46,55,50,41,33
cell6,51,52,56,46,55
cell7,45,45,49,50,64
cell8,58,44,74,52,53
cell9,48,46,53,45,43
cell10,49,46,57,46,57
cell11,46,53,49,61,55
cell12,43,48,55,43,44
cell13,46,50,38,43,61
cell14,40,49,53,39,54
cell15,47,44,46,49,43
cell16,57,49,54,35,45
cell17,49,39,48,43,62
cell18,50,44,48,42,57
cell19,53,46,52,51,55
cell20,54,48,38,34,36
cell21,33,60,49,49,59
cell22,68,55,52,37,56
cell23,44,44,54,46,42
cell24,56,60,44,47,41
cell25,62,57,50,46,56
cell26,44,43,59,47,42
cell27,39,45,44,49,47
cell28,42,57,50,51,53
cell29,43,48,46,45,58
cell30,48,46,51,32,59
cell31,55,42,44,46,46
cell32,47,55,41,56,39
cell33,45,62,46,47,46
cell34,45,54,57,45,49
cell35,43,54,47,44,51
cell36,48,47,52,57,43
cell37,63,59,47,48,37
cell38,53,47,53,52,47
cell39,44,54,45,65,57
cell40,39,54,42,46,52
cell41,50,49,56,59,47
cell42,60,66,62,51,44
cell43,54,40,53,45,42
cell44,35,43,62,52,62
cell45,50,47,46,51,51
cell46,45,42,51,51,48
cell47,55,54,42,43,56
cell48,55,50,52,43,46
cell49,40,50,47,66,41
cell50,57,49,48,46,50
cell51,57,42,56,59,62
cell52,58,52,46,64,43
cell53,51,41,49,53,44
cell54,52,44,45,53,58
cell55,64,41,47,44,58
cell56,49,57,53,49,44
cell57,54,47,51,51,37
cell58,63,53,42,57,50
cell59,39,51,44,57,58
cell60,55,52,63,42,54
cell61,38,59,43,47,61
cell62,51,50,43,56,57
cell63,40,57,58,55,43
cell64,51,50,57,38,53
cell65,40,46,43,47,55
cell66,58,54,53,56,52
cell67,45,45,40,51,54
cell68,55,52,51,38,44
cell69,43,55,56,46,45
cell70,51,55,43,50,54
cell71,64,50,53,59,40
cell72,50,50,57,47,43
cell73,41,63,53,46,50
cell74,39,58,46,43,50
cell75,42,51,43,47,39
cell76,49,50,61,42,52
cell77,43,52,48,50,62
cell78,39,57,61,36,54
cell79,37,39,43,52,39
cell80,35,56,56,36,49
cell81,47,45,49,56,43
cell82,45,39,42,40,40
cell83,43,59,43,52,58
cell84,53,71,36,53,59
cell85,58,45,61,57,36
cell86,52,43,66,43,65
cell87,43,61,48,39,54
cell88,44,43,46,49,54
cell89,46,53,55,55,41
cell90,47,39,54,51,69
cell91,61,51,37,43,55
cell92,47,42,49,54,36
