,mut15,mut1,mut2,mut3,mut4,mut5,mut6,mut7,mut8,mut9,mut10,mut11,mut12,mut13,mut14
cell1,52,36,61,46,55,64,42,64,63,52,52,48,53,54,46
cell2,50,45,48,41,50,48,46,43,67,63,49,37,49,52,70
cell3,54,49,39,52,52,44,49,60,40,45,36,59,42,44,56
cell4,43,51,48,48,45,56,40,48,43,47,62,48,51,62,40
cell5,57,43,51,53,37,43,52,35,65,48,68,48,52,49,56
cell6,64,47,48,47,47,53,47,52,56,50,57,63,34,40,40
cell7,58,48,42,51,47,50,62,55,49,56,62,55,60,63,54
cell8,57,45,44,48,43,47,48,50,45,45,35,50,59,46,65
cell9,56,49,55,43,57,52,51,48,48,55,57,49,31,39,61
cell10,52,55,46,49,48,42,46,56,51,62,46,44,49,50,54
cell11,51,56,47,62,55,42,58,40,55,47,39,46,50,60,50
cell12,49,57,52,54,44,55,47,48,46,53,46,46,57,46,54
cell13,64,42,46,44,52,48,46,63,32,47,42,43,51,54,50
cell14,40,52,56,49,67,58,64,55,44,35,60,53,35,51,55
cell15,47,50,34,39,39,49,42,45,48,51,56,40,53,45,45
cell16,52,55,40,46,57,52,55,43,49,43,48,48,54,50,45
cell17,46,43,36,40,40,49,63,49,39,51,48,52,53,44,54
cell18,54,41,57,45,41,63,53,47,41,52,46,42,49,54,35
cell19,46,46,43,45,46,37,47,50,44,58,56,57,55,52,47
cell20,48,51,60,64,44,56,44,44,45,37,58,56,43,47,42
cell21,60,56,36,37,39,52,56,51,52,47,51,56,46,47,55
cell22,50,68,51,73,38,45,57,44,46,50,43,51,43,62,32
cell23,58,42,46,53,51,51,47,55,50,48,50,51,48,50,52
cell24,39,50,66,54,41,58,53,49,47,57,35,48,41,53,46
cell25,60,52,40,49,58,47,51,45,46,48,48,46,51,62,61
cell26,43,36,62,46,48,49,52,58,44,45,57,58,52,55,59
cell27,70,56,44,55,44,51,46,59,45,69,42,39,51,41,46
cell28,55,42,49,57,39,63,55,42,54,45,55,49,53,51,49
cell29,52,52,40,55,51,47,52,60,41,54,42,52,68,53,63
cell30,57,43,48,43,50,50,45,49,49,52,53,49,52,51,44
cell31,51,47,62,55,43,57,52,52,53,51,57,61,53,61,39
cell32,60,52,59,47,52,44,47,47,50,50,43,48,45,44,50
cell33,41,48,43,43,39,49,48,50,52,54,59,43,51,66,50
cell34,81,46,52,48,51,70,58,45,50,37,47,48,65,37,48
cell35,42,44,64,49,53,46,50,58,40,46,55,42,70,47,62
cell36,46,49,42,50,58,43,44,48,63,54,57,54,42,49,47
cell37,59,55,55,41,39,47,56,55,50,50,55,58,46,41,57
cell38,62,54,47,45,41,54,56,59,54,58,47,53,52,65,37
cell39,54,49,45,53,54,48,32,51,48,39,54,48,51,58,54
cell40,62,48,54,51,47,39,39,47,47,53,46,47,52,62,49
cell41,42,54,54,50,47,52,64,42,58,45,53,51,58,60,46
cell42,52,55,44,52,52,43,65,49,48,56,61,49,43,53,60
cell43,37,60,49,68,44,53,46,45,44,43,51,55,48,50,59
cell44,67,45,50,58,52,70,51,53,63,51,52,37,45,55,44
cell45,48,48,46,35,42,60,53,48,49,51,49,40,58,32,39
cell46,54,49,42,59,56,48,54,41,47,51,39,34,52,46,37
cell47,49,57,62,59,46,43,65,54,37,42,63,67,53,53,40
cell48,48,53,61,39,52,49,49,53,56,58,43,49,53,51,36
cell49,51,57,65,55,41,45,48,53,50,44,57,54,46,56,51
cell50,49,66,58,49,38,48,54,65,45,38,56,38,54,47,52
cell51,63,45,50,40,46,42,42,55,46,47,51,50,50,58,48
cell52,43,55,61,42,57,55,46,45,46,60,44,63,49,39,45
cell53,49,45,56,47,61,55,49,59,57,45,42,45,48,30,58
cell54,54,46,54,45,39,52,48,54,55,46,53,52,39,59,40
cell55,49,53,43,50,42,52,45,47,49,48,48,55,45,53,48
cell56,41,48,65,54,46,48,60,57,65,46,44,50,54,53,51
cell57,55,70,49,55,51,44,50,42,52,50,48,43,60,45,47
cell58,43,49,55,45,51,39,50,44,51,60,44,55,58,53,42
cell59,60,48,56,50,41,45,62,60,37,50,50,52,47,48,39
cell60,52,54,50,43,51,59,50,64,46,55,47,48,49,60,60
cell61,59,51,45,55,48,50,41,40,43,52,54,44,45,49,49
cell62,43,52,47,51,50,42,54,58,50,60,63,45,56,43,39
cell63,61,48,52,50,45,42,46,43,41,35,46,53,54,62,46
cell64,47,55,44,49,62,46,62,51,65,47,40,48,50,46,42
cell65,47,53,53,43,47,41,39,47,57,51,49,40,46,54,47
cell66,50,58,42,44,54,41,51,48,62,53,44,55,54,46,56
cell67,45,58,48,45,46,53,59,46,54,51,51,57,39,60,50
cell68,60,50,55,43,49,46,56,45,48,51,56,50,53,46,64
cell69,56,55,44,45,45,49,51,49,59,53,52,59,53,58,55
cell70,56,44,52,61,57,31,48,48,47,41,51,58,47,43,46
cell71,45,50,45,54,57,57,50,49,59,55,53,54,56,58,49
cell72,40,44,49,64,51,40,50,52,53,51,57,54,60,44,44
cell73,51,41,52,55,47,50,49,58,40,57,61,48,50,44,50
cell74,55,44,49,51,64,47,51,56,51,64,46,45,46,47,63
cell75,48,61,48,50,58,53,57,40,37,50,52,54,50,49,51
cell76,50,46,47,57,51,43,67,53,48,50,35,50,50,42,59
cell77,48,57,47,56,58,56,51,52,50,58,55,53,49,55,47
cell78,50,46,44,45,45,51,47,51,27,45,49,56,48,61,62
cell79,57,60,50,39,45,38,48,45,41,50,53,43,53,38,43
cell80,58,42,44,49,52,36,58,42,54,50,46,46,46,68,67
cell81,68,49,51,50,56,44,50,61,42,42,60,44,49,35,48
cell82,48,47,46,48,49,42,48,47,53,46,55,41,65,47,38
cell83,48,66,52,52,64,65,48,56,47,64,59,48,45,42,57
cell84,62,42,45,52,62,38,46,50,49,50,51,37,52,50,37
cell85,54,55,51,50,42,45,63,50,49,48,44,52,50,52,60
cell86,41,44,46,61,44,50,56,53,41,35,45,57,64,54,60
cell87,42,59,56,52,55,57,50,62,45,54,49,56,48,37,52
cell88,63,50,46,46,41,55,55,49,46,53,41,49,52,55,51
cell89,58,40,45,44,42,57,54,50,47,51,61,40,70,50,54
cell90,50,52,37,49,50,45,51,46,48,44,68,58,45,45,39
cell91,57,42,46,51,53,40,64,46,47,59,56,42,54,52,60
cell92,47,44,60,55,38,38,53,48,41,59,51,55,42,44,53
cell93,52,49,54,60,50,50,55,43,41,50,50,63,65,56,44
cell94,40,39,53,41,53,42,60,36,53,52,47,44,61,45,52
cell95,47,60,34,40,48,57,47,36,57,43,47,44,60,61,46
cell96,45,38,53,46,50,57,40,50,41,39,42,66,45,51,41
cell97,48,48,53,51,61,47,55,54,54,50,51,41,64,55,49
cell98,63,38,44,53,53,49,57,48,47,48,52,55,60,47,48
cell99,55,49,62,50,64,49,58,62,48,56,53,48,50,52,49
cell100,54,56,56,54,50,56,66,55,46,47,37,41,61,51,46
