,mut15,mut1,mut2,mut3,mut4,mut5,mut6,mut7,mut8,mut9,mut10,mut11,mut12,mut13,mut14
cell1,45,63,60,37,44,46,49,54,51,54,62,55,57,60,46
cell2,61,58,44,45,47,54,57,53,48,47,38,49,47,47,43
cell3,55,45,43,53,52,48,54,46,55,46,49,46,40,42,45
cell4,53,41,49,57,62,46,42,49,51,58,56,44,57,38,66
cell5,50,56,43,48,52,54,42,56,60,54,59,57,47,58,47
cell6,48,52,62,52,38,59,44,47,61,40,47,57,52,41,39
cell7,44,45,64,49,47,63,51,52,53,44,50,52,50,50,39
cell8,42,60,42,52,47,53,50,46,50,43,51,61,50,42,46
cell9,61,51,56,51,59,41,51,39,64,38,46,40,50,44,60
cell10,46,51,45,60,52,52,43,54,55,55,52,49,48,58,47
cell11,45,56,45,48,45,52,59,46,32,60,48,48,49,59,41
cell12,36,47,50,43,52,60,35,53,42,41,61,41,58,57,49
cell13,48,45,55,46,52,50,42,45,43,42,50,54,60,65,50
cell14,50,42,62,49,47,43,45,52,51,58,61,49,47,59,50
cell15,59,45,48,48,42,59,43,49,51,47,50,47,59,54,39
cell16,51,43,43,46,55,45,48,45,61,52,65,51,46,35,53
cell17,53,56,47,45,53,53,45,53,45,54,51,52,53,68,48
cell18,54,43,55,49,50,47,44,50,56,50,38,54,44,65,49
cell19,41,45,55,53,50,50,47,59,60,51,44,48,52,40,54
cell20,59,52,60,58,59,56,36,45,45,51,44,46,59,49,63
cell21,43,53,42,58,50,52,45,43,46,47,55,41,42,44,50
cell22,43,54,45,45,49,40,51,55,40,41,29,46,54,40,51
cell23,40,49,55,67,45,50,41,51,57,43,65,51,62,50,53
cell24,52,48,48,41,49,44,56,63,54,57,46,49,59,60,50
cell25,44,45,41,51,45,47,44,42,64,59,49,46,48,49,68
cell26,50,46,58,41,54,51,54,46,54,52,53,51,73,41,50
cell27,65,44,60,50,48,40,48,45,51,59,48,43,57,45,53
cell28,43,55,53,52,49,53,62,49,51,44,66,54,41,42,49
cell29,46,49,53,37,51,54,51,56,40,56,43,49,43,38,52
cell30,62,50,44,53,46,67,56,51,51,49,54,44,51,56,55
cell31,47,40,60,42,51,44,49,50,58,59,54,49,50,42,48
