,mut15,mut1,mut2,mut3,mut4,mut5,mut6,mut7,mut8,mut9,mut10,mut11,mut12,mut13,mut14
cell1,56,52,56,57,45,59,63,57,54,48,43,51,46,53,44
cell2,51,55,52,57,65,47,62,45,49,39,56,47,47,57,54
cell3,46,37,43,54,49,42,46,56,39,53,46,42,55,48,52
cell4,53,38,43,54,51,50,48,46,41,47,55,54,52,62,47
cell5,53,47,57,49,62,49,55,45,52,41,61,48,51,54,47
cell6,47,50,40,45,64,53,55,38,38,37,57,61,56,51,56
cell7,36,40,47,47,64,47,55,44,59,55,49,46,49,55,42
cell8,55,40,54,50,47,52,36,44,42,42,44,55,60,33,42
cell9,62,44,35,46,48,55,57,52,50,42,54,53,48,46,59
cell10,59,45,55,36,45,51,54,53,52,57,35,50,50,48,47
cell11,44,48,53,63,47,44,58,44,52,51,48,49,45,51,51
cell12,46,47,51,43,48,69,47,53,52,60,46,41,50,46,53
cell13,56,45,58,49,31,44,55,59,44,54,39,54,39,49,43
cell14,48,46,49,43,57,47,59,50,48,35,44,50,60,65,53
cell15,48,42,62,60,49,43,39,43,45,54,50,44,49,50,47
cell16,49,51,50,62,61,42,52,46,52,45,54,44,50,38,53
cell17,55,43,61,46,49,46,49,57,33,58,64,49,67,53,49
cell18,40,42,52,49,52,43,48,53,56,42,47,54,40,52,53
cell19,46,40,48,45,48,47,70,52,44,52,41,55,52,62,44
cell20,64,46,52,47,51,50,48,47,53,52,53,43,54,48,60
cell21,49,45,52,40,45,54,39,58,53,54,56,47,57,42,55
cell22,47,60,45,64,47,46,55,44,53,52,45,50,47,52,45
cell23,45,52,49,46,48,44,55,51,47,61,48,43,64,46,50
cell24,58,56,52,59,44,51,46,50,48,52,51,52,41,46,53
cell25,47,30,41,50,49,56,43,29,47,53,51,45,56,44,50
cell26,51,57,39,43,38,49,48,51,45,48,62,52,51,49,49
cell27,36,58,52,50,46,62,53,52,54,55,46,48,54,65,53
cell28,50,39,48,39,37,52,44,49,40,50,53,44,45,53,48
cell29,47,53,41,38,53,40,44,49,42,64,48,47,54,37,40
cell30,61,59,51,36,46,44,49,52,53,50,60,56,45,52,44
cell31,53,43,56,49,60,44,53,49,54,48,43,61,52,58,53
cell32,52,54,47,36,48,43,44,56,46,55,55,49,64,50,55
cell33,46,51,52,58,48,62,51,46,49,57,45,52,65,44,59
cell34,48,62,41,51,47,48,53,56,65,65,66,60,50,44,50
cell35,46,47,58,47,60,50,34,56,56,41,39,52,55,48,55
cell36,54,51,48,45,41,54,47,45,39,52,54,57,45,54,43
cell37,45,38,52,55,47,58,57,47,40,61,57,51,55,64,52
cell38,45,58,41,44,47,50,39,54,60,57,42,58,54,40,60
cell39,47,52,55,42,55,46,50,50,58,51,49,42,55,52,41
cell40,64,46,47,37,55,41,41,42,45,47,53,49,51,52,46
cell41,47,50,72,47,44,67,52,50,42,42,58,32,56,52,50
cell42,49,45,42,44,36,60,42,41,58,55,43,43,49,57,61
cell43,50,55,52,48,49,48,45,45,43,50,45,47,38,62,47
cell44,43,37,50,57,41,50,48,46,49,42,66,47,50,57,47
cell45,44,44,50,35,57,62,45,41,48,60,51,46,52,38,57
cell46,43,42,50,60,47,47,60,47,51,59,56,47,50,46,55
cell47,44,49,46,53,43,43,51,50,55,42,52,62,49,48,58
cell48,49,50,59,56,66,32,49,56,53,61,50,52,57,41,42
cell49,60,50,49,30,58,60,56,46,54,45,43,39,63,45,41
cell50,44,40,49,44,51,42,48,46,51,45,48,43,51,51,58
cell51,49,49,69,45,40,45,54,45,52,49,52,37,58,46,55
cell52,45,29,50,62,54,55,49,52,33,43,49,42,62,45,40
cell53,46,66,49,62,46,41,47,46,45,42,43,48,65,57,56
cell54,45,46,44,43,47,52,53,50,52,63,46,47,38,52,44
cell55,58,46,46,44,38,53,54,56,50,53,53,59,41,44,58
cell56,51,47,48,57,45,68,45,45,52,57,52,56,55,43,53
cell57,49,44,50,50,33,61,59,59,56,54,50,53,51,50,33
cell58,36,42,46,47,55,64,64,44,51,47,52,41,46,53,45
cell59,53,49,49,50,55,51,46,53,66,56,48,60,53,59,47
cell60,46,51,57,55,45,38,55,52,46,55,52,51,60,54,50
cell61,56,56,41,48,39,47,58,38,60,49,61,51,43,53,47
cell62,53,51,57,52,51,60,44,38,43,58,57,47,50,49,39
cell63,48,54,47,57,58,53,47,48,54,41,48,56,61,50,44
cell64,49,37,57,45,38,46,46,60,46,37,62,47,55,53,53
cell65,53,34,39,49,58,48,54,44,46,54,38,45,41,69,61
cell66,52,43,44,41,49,42,46,43,38,45,50,48,45,52,45
cell67,57,44,60,51,39,52,39,54,54,43,55,53,61,37,53
cell68,44,50,47,55,36,45,53,47,61,56,43,39,54,56,58
cell69,45,52,51,44,52,50,51,46,52,51,43,46,40,43,66
cell70,49,48,44,48,47,52,40,47,52,55,56,38,58,44,62
cell71,36,47,58,51,54,49,53,50,56,52,56,57,52,54,58
cell72,41,59,43,49,45,46,37,47,48,53,46,58,41,42,51
cell73,44,61,50,47,56,52,78,42,56,53,54,64,47,50,59
cell74,57,50,54,45,41,49,49,47,47,48,48,61,42,40,53
cell75,58,41,46,38,48,51,44,64,50,55,59,42,44,49,38
cell76,51,46,51,56,54,53,47,62,44,68,49,45,51,56,60
