	mut10	mut10	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4	mut5	mut5	mut6	mut6	mut7	mut7	mut8	mut8	mut9	mut9
cell1	0	42	53	0	47	0	48	13	43	0	48	0	33	11	41	0	52	0	48	0
cell2	0	54	57	6	51	0	54	0	47	0	42	0	52	0	40	0	49	0	49	0
cell3	0	54	49	0	45	0	15	31	40	10	55	1	47	0	49	1	59	0	30	18
cell4	0	62	13	35	30	22	56	0	53	1	46	0	53	0	45	1	34	12	45	0
cell5	0	54	46	0	51	0	51	0	49	0	59	0	41	0	45	0	47	0	61	0
cell6	0	45	10	35	68	0	58	0	53	0	55	1	54	2	47	0	53	0	33	6
cell7	0	54	55	0	62	0	0	45	17	43	41	7	50	0	53	1	35	3	50	1
cell8	7	31	50	8	44	0	22	26	16	30	21	21	51	0	48	14	47	0	51	4
cell9	0	52	5	36	40	9	50	0	49	0	52	0	55	0	42	0	39	3	49	1
cell10	0	42	6	49	44	4	51	0	48	10	50	0	51	0	54	0	50	5	40	0
cell11	1	41	45	0	56	0	39	9	52	0	52	0	66	0	45	0	47	0	57	0
cell12	0	40	39	18	35	9	51	0	66	0	64	0	50	0	47	0	40	8	42	0
cell13	4	41	46	0	49	0	35	18	54	0	64	0	51	0	44	0	52	0	41	0
cell14	0	46	53	0	43	4	0	50	25	17	37	10	38	0	53	4	52	0	51	9
cell15	0	51	14	35	56	11	43	0	37	0	49	0	29	4	49	0	44	0	57	4
cell16	0	52	51	0	51	0	12	46	6	27	53	0	52	0	43	0	54	0	32	5
cell17	0	62	50	0	38	1	22	23	15	37	25	29	51	0	55	1	64	1	38	16
cell18	0	50	50	0	53	0	28	18	27	23	51	0	45	1	47	0	36	6	40	1
cell19	1	60	55	4	48	0	16	45	31	21	46	0	52	0	62	2	47	0	46	0
cell20	1	49	49	0	48	0	36	9	54	0	47	0	45	0	49	2	41	0	57	0
cell21	0	44	48	0	35	0	62	1	42	0	46	0	7	44	48	0	46	0	43	0
cell22	0	60	8	44	39	4	54	0	48	0	60	0	67	0	44	0	53	0	56	0
cell23	0	44	46	0	49	0	3	35	31	21	31	14	46	0	41	3	55	0	66	15
cell24	0	55	29	26	41	0	54	0	45	0	41	0	49	1	53	0	64	2	45	0
cell25	0	55	50	0	39	0	15	29	36	7	53	1	46	0	57	0	49	0	47	14
cell26	4	39	7	59	24	32	53	0	58	1	47	1	51	0	60	0	42	5	50	0
cell27	0	59	58	0	49	0	18	39	48	8	47	8	53	2	53	0	55	0	43	0
cell28	1	46	44	1	40	0	5	49	31	20	49	0	52	0	55	0	58	0	41	0
cell29	0	65	51	0	50	0	19	29	47	5	42	0	48	0	50	0	37	1	39	6
cell30	1	50	49	0	48	1	32	4	58	1	58	0	36	9	45	0	70	0	51	1
cell31	0	58	59	0	46	0	60	0	46	2	54	0	21	41	53	0	48	0	49	0
cell32	0	51	42	8	47	1	47	0	44	5	66	0	54	0	44	0	52	0	47	0
cell33	0	40	64	0	50	0	10	54	24	17	50	11	56	0	47	0	62	0	40	17
cell34	2	59	61	3	30	0	7	44	21	24	30	20	41	0	45	1	40	0	50	6
cell35	0	45	57	0	53	5	5	40	19	36	50	16	52	0	52	0	59	1	38	6
cell36	0	58	45	5	34	0	21	31	50	1	55	2	43	0	61	1	45	0	48	0
cell37	0	39	43	0	74	0	54	0	44	10	45	2	57	0	43	0	45	0	46	0
cell38	0	55	62	0	49	1	7	38	61	3	45	0	45	0	49	0	46	0	44	0
cell39	0	60	42	6	42	0	52	4	50	0	55	3	55	0	48	3	42	0	52	0
cell40	0	51	46	0	41	0	30	36	52	6	57	0	49	0	42	0	55	6	47	0
cell41	0	45	11	39	48	0	48	0	41	0	40	1	39	0	43	0	41	0	48	0
cell42	0	51	43	7	44	1	46	0	50	0	51	0	58	1	44	0	50	1	48	0
cell43	0	59	47	1	49	0	49	0	48	0	38	0	7	40	53	0	42	0	48	0
cell44	2	38	49	1	43	2	41	0	47	0	54	0	65	0	54	0	52	0	63	0
cell45	3	37	9	46	57	0	56	0	42	2	58	0	49	0	50	0	47	0	54	0
cell46	0	48	39	0	48	0	50	0	46	0	43	0	39	0	45	0	51	0	54	1
cell47	0	46	43	0	50	1	4	58	34	14	30	24	58	0	40	5	68	3	43	17
cell48	0	56	50	0	43	6	4	30	38	0	55	0	46	0	52	1	59	0	50	0
cell49	0	50	73	0	52	0	44	0	60	0	44	0	60	0	45	0	44	0	52	0
cell50	0	59	55	0	62	1	20	29	28	22	39	11	49	0	40	4	44	0	35	3
