	mut5	mut5	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4
cell1	0	38	3	35	60	0	34	20	51	0
cell2	0	55	12	47	33	21	63	0	60	0
cell3	0	48	6	49	43	9	74	2	54	0
cell4	2	51	45	0	51	0	55	0	49	0
cell5	0	52	8	47	52	0	9	38	60	1
cell6	0	53	48	3	36	13	43	0	46	0
cell7	1	41	12	54	56	0	47	1	33	15
cell8	0	47	49	0	49	0	48	0	38	1
cell9	4	50	27	26	41	0	40	2	54	0
cell10	0	58	13	33	50	1	48	0	60	0
cell11	1	44	6	62	48	0	38	8	63	0
cell12	0	69	1	44	50	0	37	9	56	0
cell13	0	43	53	2	52	0	51	0	47	4
cell14	0	52	30	32	25	16	55	0	53	0
cell15	0	46	22	32	42	0	33	10	55	3
cell16	0	48	3	33	49	0	52	0	31	15
cell17	0	56	33	20	42	0	45	0	37	0
cell18	0	48	0	50	45	6	39	2	29	17
cell19	0	46	12	42	46	0	34	12	57	3
cell20	0	56	35	18	44	0	44	0	61	0
cell21	0	51	2	38	57	0	22	20	53	0
cell22	4	31	47	1	55	0	61	0	57	0
cell23	0	33	3	40	62	3	41	0	33	12
cell24	1	45	31	13	46	0	54	0	53	7
cell25	0	47	51	0	44	1	52	0	56	0
cell26	0	61	42	6	47	5	33	6	51	0
cell27	0	44	46	17	41	1	45	0	34	20
cell28	0	51	51	0	52	0	47	5	46	0
cell29	2	54	8	37	43	0	51	3	39	0
cell30	0	44	29	22	34	0	53	0	58	0
cell31	0	52	24	25	41	6	45	1	48	0
cell32	0	50	49	0	44	0	51	0	51	0
cell33	0	48	19	24	44	0	57	2	30	15
cell34	0	49	11	33	51	0	49	0	51	0
cell35	0	50	44	0	51	0	50	0	49	0
cell36	0	42	11	38	33	7	58	0	42	0
cell37	0	49	35	14	52	3	60	0	36	18
cell38	0	51	5	45	51	0	50	0	51	0
cell39	0	46	56	0	54	0	44	1	60	0
cell40	0	51	22	30	44	0	55	0	46	0
cell41	0	49	37	23	48	0	53	0	49	6
cell42	1	46	44	0	63	0	61	0	50	0
cell43	0	57	27	17	32	12	46	0	51	0
cell44	1	46	54	0	56	1	39	1	53	0
cell45	0	53	18	34	62	0	49	0	30	19
cell46	0	53	22	22	32	11	55	0	44	3
cell47	0	58	44	0	50	2	50	0	49	0
cell48	0	56	6	47	47	0	57	0	43	0
cell49	0	49	49	0	45	6	41	1	59	0
cell50	0	48	6	44	39	8	50	0	50	0
