,mut5,mut1,mut2,mut3,mut4
cell1,38,38,60,54,51
cell2,55,59,54,63,60
cell3,48,55,52,76,54
cell4,53,45,51,55,49
cell5,52,55,52,47,61
cell6,53,51,49,43,46
cell7,42,66,56,48,48
cell8,47,49,49,48,39
cell9,54,53,41,42,54
cell10,58,46,51,48,60
cell11,45,68,48,46,63
cell12,69,45,50,46,56
cell13,43,55,52,51,51
cell14,52,62,41,55,53
cell15,46,54,42,43,58
cell16,48,36,49,52,46
cell17,56,53,42,45,37
cell18,48,50,51,41,46
cell19,46,54,46,46,60
cell20,56,53,44,44,61
cell21,51,40,57,42,53
cell22,35,48,55,61,57
cell23,33,43,65,41,45
cell24,46,44,46,54,60
cell25,47,51,45,52,56
cell26,61,48,52,39,51
cell27,44,63,42,45,54
cell28,51,51,52,52,46
cell29,56,45,43,54,39
cell30,44,51,34,53,58
cell31,52,49,47,46,48
cell32,50,49,44,51,51
cell33,48,43,44,59,45
cell34,49,44,51,49,51
cell35,50,44,51,50,49
cell36,42,49,40,58,42
cell37,49,49,55,60,54
cell38,51,50,51,50,51
cell39,46,56,54,45,60
cell40,51,52,44,55,46
cell41,49,60,48,53,55
cell42,47,44,63,61,50
cell43,57,44,44,46,51
cell44,47,54,57,40,53
cell45,53,52,62,49,49
cell46,53,44,43,55,47
cell47,58,44,52,50,49
cell48,56,53,47,57,43
cell49,49,49,51,42,59
cell50,48,50,47,50,50
