	mut5	mut5	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4
cell1	0	53	32	17	54	0	43	0	42	0
cell2	0	58	2	49	48	6	53	0	41	1
cell3	0	49	13	41	14	34	43	0	22	31
cell4	0	34	47	0	55	0	49	1	58	2
cell5	0	50	47	0	47	0	56	0	46	1
cell6	1	56	17	48	25	19	48	0	54	3
cell7	0	42	19	20	53	0	44	1	64	0
cell8	0	43	16	37	12	37	49	0	30	24
cell9	0	56	20	37	14	34	57	0	32	7
cell10	0	43	5	40	43	6	58	0	36	0
cell11	0	53	2	55	29	13	54	0	47	9
cell12	0	36	10	44	34	16	43	0	43	6
cell13	0	53	50	0	48	0	33	0	61	2
cell14	3	59	40	8	46	2	45	0	51	0
cell15	0	51	33	11	50	0	51	0	42	0
cell16	0	49	14	36	31	16	50	0	29	25
cell17	2	59	49	0	54	0	48	0	46	0
cell18	3	48	22	31	39	5	56	1	47	3
cell19	1	68	23	16	63	1	54	0	52	0
cell20	0	45	20	25	47	0	43	0	56	0
cell21	0	51	15	25	43	0	47	0	47	0
cell22	0	33	22	26	47	1	26	0	47	0
cell23	0	48	31	21	48	0	49	4	54	6
cell24	0	44	8	47	38	11	46	0	35	15
cell25	0	35	17	34	34	16	43	0	61	1
cell26	0	32	5	35	27	22	55	0	47	0
cell27	0	58	42	15	46	0	45	1	53	0
cell28	0	54	20	38	59	1	45	1	46	0
cell29	1	50	11	41	27	19	40	0	41	4
cell30	0	54	23	21	33	15	40	0	47	0
cell31	6	33	13	34	24	27	54	0	29	29
cell32	0	45	2	54	7	59	42	0	11	21
cell33	0	55	19	23	35	8	54	0	49	0
cell34	0	53	3	42	63	0	18	33	65	0
cell35	0	41	31	20	51	0	52	0	38	0
cell36	0	42	49	0	59	0	55	0	49	4
cell37	0	44	2	47	48	0	56	0	53	0
cell38	0	60	14	33	53	0	34	19	43	0
cell39	2	47	27	16	26	16	43	0	53	0
cell40	0	43	53	0	51	0	50	0	48	0
cell41	1	43	55	0	42	0	64	2	43	0
cell42	2	50	38	16	29	40	44	9	43	18
cell43	0	46	11	51	10	34	54	0	55	1
cell44	0	61	15	46	42	0	46	12	49	0
cell45	0	46	7	46	27	15	51	0	48	0
cell46	1	59	12	42	39	7	59	0	40	0
cell47	0	50	48	0	40	0	46	0	43	0
cell48	0	51	47	2	62	0	45	2	55	0
cell49	0	47	22	22	42	3	44	0	51	0
cell50	0	50	51	0	47	0	44	0	50	0
