,mut5,mut1,mut2,mut3,mut4
cell1,53,49,54,43,42
cell2,58,51,54,53,42
cell3,49,54,48,43,53
cell4,34,47,55,50,60
cell5,50,47,47,56,47
cell6,57,65,44,48,57
cell7,42,39,53,45,64
cell8,43,53,49,49,54
cell9,56,57,48,57,39
cell10,43,45,49,58,36
cell11,53,57,42,54,56
cell12,36,54,50,43,49
cell13,53,50,48,33,63
cell14,62,48,48,45,51
cell15,51,44,50,51,42
cell16,49,50,47,50,54
cell17,61,49,54,48,46
cell18,51,53,44,57,50
cell19,69,39,64,54,52
cell20,45,45,47,43,56
cell21,51,40,43,47,47
cell22,33,48,48,26,47
cell23,48,52,48,53,60
cell24,44,55,49,46,50
cell25,35,51,50,43,62
cell26,32,40,49,55,47
cell27,58,57,46,46,53
cell28,54,58,60,46,46
cell29,51,52,46,40,45
cell30,54,44,48,40,47
cell31,39,47,51,54,58
cell32,45,56,66,42,32
cell33,55,42,43,54,49
cell34,53,45,63,51,65
cell35,41,51,51,52,38
cell36,42,49,59,55,53
cell37,44,49,48,56,53
cell38,60,47,53,53,43
cell39,49,43,42,43,53
cell40,43,53,51,50,48
cell41,44,55,42,66,43
cell42,52,54,69,53,61
cell43,46,62,44,54,56
cell44,61,61,42,58,49
cell45,46,53,42,51,48
cell46,60,54,46,59,40
cell47,50,48,40,46,43
cell48,51,49,62,47,55
cell49,47,44,45,44,51
cell50,50,51,47,44,50
