#chr	position	description	Normal	cell1	cell2	cell3	cell4	cell5	cell6	cell7	cell8	cell9	cell10	cell11	cell12	cell13	cell14	cell15	cell16	cell17	cell18	cell19	cell20	cell21	cell22	cell23	cell24	cell25	cell26	cell27	cell28	cell29	cell30	cell31	cell32	cell33	cell34	cell35	cell36	cell37	cell38	cell39	cell40	cell41	cell42	cell43	cell44	cell45	cell46	cell47	cell48	cell49	cell50	cell51	cell52	cell53	cell54	cell55	cell56	cell57	cell58	cell59	cell60	cell61	cell62	cell63	cell64	cell65	cell66	cell67	cell68	cell69	cell70	cell71	cell72	cell73	cell74	cell75	cell76	cell77	cell78	cell79	cell80	cell81	cell82	cell83	cell84	cell85	cell86	cell87	cell88	cell89	cell90	cell91	cell92	cell93	cell94	cell95	cell96	cell97	cell98	cell99	cell100
1	1	1	0.0	1.0	1.0	0.98	0.975	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.925	1.0	1.0	0.92	0.9795918367346939	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9836065573770492	1.0	0.9803921568627451	1.0	0.98	0.9215686274509803	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8947368421052632	1.0	1.0	1.0	1.0	1.0	1.0	0.9411764705882353	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9787234042553191	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2	2	2	0.0	0.11764705882352941	0.875	0.2833333333333333	0.9772727272727273	1.0	0.576271186440678	0.66	0.813953488372093	0.8157894736842105	0.043478260869565216	0.6458333333333334	0.0	0.04878048780487805	0.37037037037037035	0.5294117647058824	0.25	0.8709677419354839	0.5333333333333333	0.3673469387755102	0.0	0.08	0.18181818181818182	0.03571428571428571	0.3333333333333333	0.704225352112676	0.3333333333333333	0.9622641509433962	0.39473684210526316	0.07272727272727272	0.38	0.14285714285714285	0.5964912280701754	0.03278688524590164	0.13114754098360656	0.40816326530612246	0.16326530612244897	0.8571428571428571	0.43137254901960786	0.9019607843137255	0.0	0.8780487804878049	0.6410256410256411	1.0	0.3673469387755102	0.5238095238095238	0.3617021276595745	0.09433962264150944	0.47058823529411764	0.13725490196078433	0.5192307692307693	0.2037037037037037	0.6206896551724138	0.25	0.46	0.0	0.6481481481481481	0.2222222222222222	0.022222222222222223	0.07142857142857142	0.5853658536585366	0.23214285714285715	0.0	0.6666666666666666	0.5625	0.2826086956521739	0.8695652173913043	0.058823529411764705	0.05660377358490566	0.05263157894736842	0.0	0.8913043478260869	0.6470588235294118	0.9433962264150944	0.07272727272727272	0.875	0.11904761904761904	0.3090909090909091	0.2857142857142857	0.021739130434782608	0.22	0.3137254901960784	0.6829268292682927	0.6612903225806451	0.18867924528301888	0.23684210526315788	0.6153846153846154	0.14516129032258066	0.5102040816326531	0.046511627906976744	0.3018867924528302	0.5813953488372093	0.0	0.13953488372093023	0.9152542372881356	0.14285714285714285	0.0	0.7358490566037735	0.23529411764705882	0.14285714285714285	0.12727272727272726
3	3	3	0.0	0.0	0.0	0.0	0.6071428571428571	0.0	0.0	0.0	0.5423728813559322	0.0	0.024390243902439025	0.0	0.0	0.0	0.0	0.1568627450980392	0.0	0.45098039215686275	0.0	0.17857142857142858	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.4426229508196721	0.0	0.0	0.016666666666666666	0.0	0.0	0.020833333333333332	0.0	0.0	0.0	0.019230769230769232	0.4523809523809524	0.6346153846153846	0.0	0.5333333333333333	0.3541666666666667	0.6964285714285714	0.0	0.0	0.16981132075471697	0.0	0.0	0.0	0.0	0.0	0.7441860465116279	0.7727272727272727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.8085106382978723	0.0	0.0	0.0	0.0	0.7368421052631579	0.40476190476190477	0.7391304347826086	0.0	0.7391304347826086	0.0	0.0	0.0	0.0	0.05172413793103448	0.08064516129032258	0.2222222222222222	0.6818181818181818	0.0196078431372549	0.32558139534883723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6538461538461539	0.0	0.0	0.06557377049180328	0.0	0.0	0.0
4	4	4	0.0	0.04878048780487805	0.08163265306122448	0.05660377358490566	0.20930232558139536	0.0	0.0	0.0	0.23529411764705882	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.27419354838709675	0.04918032786885246	0.75	0.01694915254237288	0.04285714285714286	0.0	0.0	0.0	0.03636363636363636	0.10416666666666667	0.11627906976744186	0.04081632653061224	0.03225806451612903	0.0	0.0	0.1956521739130435	0.0	0.0	0.019230769230769232	0.0	0.0	0.021739130434782608	0.0	0.0	0.29411764705882354	0.037037037037037035	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25925925925925924	0.061224489795918366	0.0	0.0	0.0	0.12307692307692308	0.11538461538461539	0.0	0.0	0.0	0.0	0.0	0.037037037037037035	0.02	0.375	0.0	0.0	0.034482758620689655	0.0	0.2037037037037037	0.0	0.32608695652173914	0.0	0.35294117647058826	0.0	0.0	0.0	0.030303030303030304	0.0	0.0	0.4074074074074074	0.10416666666666667	0.0	0.0	0.0	0.017241379310344827	0.019230769230769232	0.0	0.0	0.0	0.0	0.0	0.20408163265306123	0.0	0.0	0.043478260869565216	0.10909090909090909	0.0	0.0
5	5	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30952380952380953	0.0	0.046511627906976744	0.25396825396825395	0.0	0.0	0.0	0.2830188679245283	0.04878048780487805	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05263157894736842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05172413793103448	0.0	0.0	0.0	0.05357142857142857	0.05084745762711865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11538461538461539	0.031746031746031744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022222222222222223	0.0	0.0	0.02127659574468085	0.03773584905660377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27906976744186046	0.019230769230769232	0.0	0.0	0.0	0.0	0.07547169811320754	0.2909090909090909	0.0	0.0	0.0	0.0	0.018518518518518517	0.0	0.0	0.0	0.0	0.10638297872340426	0.0	0.044444444444444446	0.0	0.0	0.0	0.0	0.0	0.0
6	6	6	0.0	0.23404255319148937	0.0	0.7111111111111111	0.018867924528301886	0.1568627450980392	0.574468085106383	0.2413793103448276	0.0	0.019230769230769232	0.8214285714285714	0.34285714285714286	0.015151515151515152	0.39622641509433965	0.14634146341463414	0.0	0.0	0.10256410256410256	0.0425531914893617	0.0	0.7058823529411765	0.9148936170212766	0.6181818181818182	0.6326530612244898	0.7586206896551724	0.0	0.6140350877192983	0.0	0.14035087719298245	0.8409090909090909	0.11538461538461539	0.5777777777777777	0.19148936170212766	0.5471698113207547	0.27906976744186046	0.6585365853658537	0.660377358490566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3137254901960784	0.2549019607843137	0.0	0.3877551020408163	0.03508771929824561	0.3333333333333333	0.2702702702702703	0.6086956521739131	0.022222222222222223	0.0	0.1956521739130435	0.0	0.0784313725490196	0.0	0.6363636363636364	0.8275862068965517	0.18867924528301888	0.6851851851851852	0.0	0.0	0.0	0.28205128205128205	0.03773584905660377	0.6785714285714286	0.7446808510638298	0.6666666666666666	0.7857142857142857	0.0	0.0	0.0	0.4716981132075472	0.047619047619047616	0.35555555555555557	0.6666666666666666	0.47058823529411764	0.45588235294117646	0.11904761904761904	0.5348837209302325	0.0	0.0	0.5	0.0	0.0196078431372549	0.7368421052631579	0.02564102564102564	0.5409836065573771	0.24	0.019230769230769232	0.0	0.03571428571428571	0.0	0.0	0.0	0.3333333333333333	0.8	0.5714285714285714	0.0
7	7	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.25	0.05454545454545454	0.0	0.017857142857142856	0.05660377358490566	0.0	0.2857142857142857	0.0	0.01694915254237288	0.08620689655172414	0.022222222222222223	0.0	0.0425531914893617	0.0	0.39215686274509803	0.3409090909090909	0.2608695652173913	0.0	0.017543859649122806	0.08695652173913043	0.0	0.017543859649122806	0.018867924528301886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03389830508474576	0.0	0.0	0.19047619047619047	0.0	0.43103448275862066	0.020833333333333332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13846153846153847	0.0	0.0	0.07407407407407407	0.0	0.057692307692307696	0.5576923076923077	0.0196078431372549	0.6153846153846154	0.10869565217391304	0.0	0.0	0.0392156862745098	0.23214285714285715	0.0	0.07692307692307693	0.09523809523809523	0.05660377358490566	0.20588235294117646	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.02127659574468085	0.08695652173913043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0847457627118644	0.12	0.0	0.0425531914893617	0.0392156862745098
8	8	8	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.25	0.019230769230769232	0.0	0.5833333333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.09433962264150944	0.0975609756097561	0.0	0.0	0.0	0.02127659574468085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5416666666666666	0.0	0.016666666666666666	0.0	0.0	0.0	0.02040816326530612	0.0	0.0	0.0	0.06521739130434782	0.2857142857142857	0.0	0.5686274509803921	0.0	0.0	0.0	0.0	0.0	0.05454545454545454	0.045454545454545456	0.0	0.037037037037037035	0.0	0.7083333333333334	0.3617021276595745	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0851063829787234	0.0	0.0	0.0	0.01694915254237288	0.0	0.24444444444444444	0.0	0.023809523809523808	0.0	0.075	0.35714285714285715	0.023809523809523808	0.0	0.16981132075471697	0.0	0.017543859649122806	0.0	0.0	0.47368421052631576	0.08333333333333333	0.0	0.0	0.0	0.0	0.034482758620689655	0.0	0.0	0.34615384615384615	0.0	0.0
9	9	9	0.0	0.0	0.0	0.0425531914893617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037037037037037035	0.0	0.038461538461538464	0.0	0.021739130434782608	0.0	0.0	0.5	0.022222222222222223	0.0	0.0	0.54	0.0	0.0	0.0	0.08333333333333333	0.1509433962264151	0.0	0.0	0.0	0.20930232558139536	0.0	0.021739130434782608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02631578947368421	0.0	0.0	0.0	0.0	0.02127659574468085	0.3333333333333333	0.0	0.0392156862745098	0.0	0.0	0.023255813953488372	0.02127659574468085	0.02702702702702703	0.0	0.0	0.02	0.0	0.024390243902439025	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.14814814814814814	0.016666666666666666	0.0	0.0	0.0	0.06521739130434782	0.08163265306122448	0.0	0.0	0.0	0.0	0.0	0.0	0.046153846153846156	0.0	0.0	0.0	0.0	0.05660377358490566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08695652173913043	0.4318181818181818	0.038461538461538464
10	10	10	0.0	0.2641509433962264	0.0	0.0	0.0	0.0	0.0	0.0	0.019230769230769232	0.0	0.14754098360655737	0.02040816326530612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0425531914893617	0.018867924528301886	0.18867924528301888	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.03571428571428571	0.0	0.023255813953488372	0.0	0.23076923076923078	0.0	0.0	0.0196078431372549	0.0	0.0	0.0	0.0	0.0	0.0	0.08163265306122448	0.0	0.0	0.0	0.019230769230769232	0.0	0.015873015873015872	0.0	0.0	0.0	0.0	0.020833333333333332	0.0	0.0	0.1111111111111111	0.023809523809523808	0.0	0.019230769230769232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.09302325581395349	0.0	0.043478260869565216	0.0	0.07692307692307693	0.0	0.0	0.03773584905660377	0.03773584905660377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2391304347826087	0.0	0.0
